INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,TA058N02,58.43245,2.34817,57826.219069,30.0,o,16.29,30.10,00.00
00001,TA056S02,56.21259,-2.62147,57826.219546,30.0,o,16.26,58.07,00.01
00002,TA063N02,63.42270,2.34842,57826.220025,30.0,o,16.51,85.66,00.02
00003,TA061S02,61.21279,-2.62159,57826.220503,30.0,o,16.50,110.33,00.02
00004,TA068N02,68.41254,2.34854,57826.220984,30.0,o,16.75,137.97,00.03
00005,TA066S02,66.22307,-2.62141,57826.221461,30.0,o,16.74,162.64,00.04
00006,TA073N02,73.40183,2.34851,57826.221943,30.0,o,16.93,190.28,00.05
00007,TA071S02,71.22251,-2.62135,57826.222419,30.0,o,16.99,214.95,00.06
00008,TA053N02,53.74530,2.65036,57826.222988,30.0,o,16.77,240.44,00.06
00009,TA078N02,78.39071,2.34867,57826.223656,30.0,o,17.28,267.98,00.06
00010,TA058N02,58.73503,2.65019,57826.224310,30.0,o,17.08,269.49,00.06
00011,TA076S02,76.23097,-2.63104,57826.224921,30.0,o,17.43,294.16,00.07
00012,TA056S02,56.51472,-2.31968,57826.225517,30.0,o,17.15,294.16,00.07
00013,TA083N02,83.38029,2.34936,57826.226199,30.0,o,17.67,321.45,00.07
00014,TA063N02,63.72470,2.65010,57826.226881,30.0,o,17.54,322.94,00.07
00015,TA081S02,81.24001,-2.63070,57826.227519,30.0,o,17.81,347.61,00.08
00016,TA061S02,61.51436,-2.31989,57826.228273,30.0,o,17.63,347.61,00.08
00017,TA088N02,88.37016,2.35001,57826.228975,30.0,o,17.97,375.28,00.08
00018,TA068N02,68.71429,2.65000,57826.229673,30.0,o,17.90,376.79,00.08
00019,TA058N02,58.28511,2.80098,57826.230184,30.0,o,17.80,377.62,00.08
00020,TA056S02,56.06516,-2.16890,57826.230661,30.0,o,17.77,378.46,00.08
00021,TA063N02,63.27410,2.80033,57826.231137,30.0,o,17.94,379.20,00.08
00022,TA061S02,61.06428,-2.16937,57826.231615,30.0,o,17.95,379.20,00.08
00023,TA066S02,66.52337,-2.32006,57826.232098,30.0,o,18.04,379.20,00.08
00024,TA073N02,73.70017,2.64849,57826.234178,30.0,o,18.21,380.67,00.08
00025,TA076S02,76.52930,-2.33179,57826.234670,30.0,o,18.17,380.67,00.08
00026,TA078N02,78.68922,2.64880,57826.235148,30.0,o,18.25,382.17,00.08
00027,TA081S02,81.53828,-2.33179,57826.235682,30.0,o,18.24,383.39,00.08
00028,TA083N02,83.67846,2.64892,57826.236162,30.0,o,18.24,384.88,00.08
00029,TA086S02,86.23822,-2.63140,57826.236639,30.0,o,18.23,408.33,00.08
00030,TA091S02,91.24835,-2.63069,57826.237134,30.0,o,18.24,434.50,00.08
00031,TA093N02,93.36015,2.35002,57826.238576,30.0,o,18.23,460.65,00.09
00032,TA093N02,93.66027,2.64978,57826.240015,30.0,o,18.22,463.66,00.09
00033,TA088N02,88.67040,2.64920,57826.240988,30.0,o,18.19,465.01,00.09
00034,TA091S02,91.54996,-2.33062,57826.241465,30.0,o,18.20,466.23,00.09
00035,TA086S02,86.54015,-2.33100,57826.241961,30.0,o,18.16,466.23,00.09
00036,TA078N02,78.23928,2.79864,57826.244176,30.0,o,18.13,467.03,00.09
00037,TA076S02,76.08014,-2.18063,57826.244654,30.0,o,18.09,467.03,00.09
00038,TA071S02,71.07083,-2.17040,57826.245137,30.0,o,18.05,467.03,00.09
00039,TA073N02,73.25078,2.80004,57826.245614,30.0,o,18.07,467.78,00.09
00040,TA066S02,66.07143,-2.16945,57826.246091,30.0,o,17.98,467.78,00.09
00041,TA068N02,68.26131,2.80055,57826.246569,30.0,o,18.00,468.44,00.09
00042,TA058N02,58.88304,2.20175,57826.247059,30.0,o,17.87,468.44,00.09
00043,TA053N02,53.89347,2.20262,57826.247536,30.0,o,17.79,469.39,00.09
00044,TA058N07,58.01292,7.38190,57826.248015,30.0,o,17.83,494.21,00.09
00045,TA063N07,63.08148,7.38104,57826.249449,30.0,o,17.86,516.98,00.09
00046,TA068N07,68.16054,7.38045,57826.249927,30.0,o,17.92,539.53,00.10
00047,TA063N02,63.87169,2.20148,57826.250403,30.0,o,17.86,539.53,00.10
00048,TA056S02,56.66286,-2.76690,57826.250881,30.0,o,17.74,540.35,00.10
00049,TA068N02,68.86029,2.20070,57826.251358,30.0,o,17.91,540.35,00.10
00050,TA061S02,61.66217,-2.76768,57826.251834,30.0,o,17.78,541.10,00.10
00051,TA066S02,66.67069,-2.76842,57826.252312,30.0,o,17.81,541.84,00.10
00052,TA058S07,58.13240,-7.58692,57826.252789,30.0,o,17.72,568.04,00.11
00053,TA063S07,63.18127,-7.58795,57826.253267,30.0,o,17.77,592.38,00.11
00054,TA068S07,68.24001,-7.58861,57826.253744,30.0,o,17.79,616.54,00.12
00055,TA081S02,81.08815,-2.18124,57826.255011,30.0,o,17.94,616.54,00.12
00056,TA083N02,83.22791,2.79931,57826.255489,30.0,o,17.98,617.30,00.12
00057,TA086S02,86.08699,-2.18122,57826.255985,30.0,o,17.95,617.30,00.12
00058,TA093N02,93.20824,2.79989,57826.256539,30.0,o,18.00,618.11,00.12
00059,TA073N02,73.85239,2.20081,57826.259716,30.0,o,17.85,618.11,00.12
00060,TA073N07,73.23238,7.38150,57826.260197,30.0,o,17.86,640.85,00.13
00061,TA091S02,91.09818,-2.17916,57826.260851,30.0,o,17.95,640.85,00.13
00062,TA071S02,71.66976,-2.76783,57826.262114,30.0,o,17.76,641.36,00.13
00063,TA073S07,73.29944,-7.58819,57826.262595,30.0,o,17.78,665.95,00.13
00064,TA078N07,78.30986,7.38031,57826.264571,30.0,o,17.86,688.77,00.14
00065,TA058N07,58.31374,7.68339,57826.265979,30.0,o,17.59,690.45,00.14
00066,TA076S02,76.68071,-2.77744,57826.266532,30.0,o,17.81,690.95,00.14
00067,TA078S07,78.36030,-7.58791,57826.267014,30.0,o,17.81,715.27,00.15
00068,TA058S07,58.43286,-7.28658,57826.268451,30.0,o,17.51,715.27,00.15
00069,TA083N02,83.82960,2.20125,57826.268976,30.0,o,17.87,715.27,00.15
00070,TA083N07,83.38969,7.38074,57826.269457,30.0,o,17.87,738.12,00.15
00071,TA068N07,68.45984,7.68053,57826.271390,30.0,o,17.69,739.77,00.15
00072,TA073N07,73.53887,7.68004,57826.271868,30.0,o,17.78,741.29,00.15
00073,TA063S07,63.49152,-7.28586,57826.272354,30.0,o,17.55,741.29,00.15
00074,TA068S07,68.54042,-7.28672,57826.272832,30.0,o,17.63,741.29,00.15
00075,TA088N07,88.46807,7.38069,57826.273334,30.0,o,17.88,764.50,00.16
00076,TA081S02,81.68989,-2.77797,57826.273811,30.0,o,17.81,765.00,00.16
00077,TA086S02,86.68889,-2.77815,57826.274293,30.0,o,17.84,765.75,00.16
00078,TA093N07,93.54687,7.38016,57826.274771,30.0,o,17.90,788.48,00.16
00079,TA088N02,88.81897,2.20120,57826.275248,30.0,o,17.86,788.48,00.16
00080,TA083S07,83.41981,-7.58813,57826.275725,30.0,o,17.78,812.66,00.16
00081,TA091S02,91.69756,-2.77897,57826.276213,30.0,o,17.87,814.35,00.16
