INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,TA246N07,246.56953,6.63219,57876.540922,30.0,o,19.25,29.65,00.00
00001,TA244N12,244.83947,11.61219,57876.541437,30.0,o,19.23,57.69,00.00
00002,TA249N12,249.97932,11.61289,57876.542008,30.0,o,19.29,84.44,00.01
00003,TA251N07,251.62970,6.63369,57876.542537,30.0,o,19.30,110.38,00.01
00004,TA246N07,246.55968,6.65330,57876.556629,30.0,o,19.28,110.54,00.01
00005,TA248N02,249.07947,1.68364,57876.557676,30.0,o,19.26,138.22,00.01
00006,TA251S02,252.03947,-3.31592,57876.558716,30.0,o,19.23,166.56,00.01
00007,TA256S07,256.66942,-8.34715,57876.559231,30.0,o,19.18,195.88,00.02
00008,TA253N02,254.10032,1.66250,57876.559754,30.0,o,19.25,220.51,00.02
00009,TA254N12,255.13026,11.61232,57876.560280,30.0,o,19.28,247.33,00.03
00010,TA259N12,260.28102,11.61324,57876.560844,30.0,o,19.30,275.08,00.04
00011,TA256N07,256.70101,6.62329,57876.561382,30.0,o,19.28,298.83,00.04
00012,TA256S02,257.03082,-3.31699,57876.561898,30.0,o,19.22,323.27,00.05
00013,TA251S02,252.03116,-3.29663,57876.562953,30.0,o,19.23,323.27,00.05
00014,TA251N07,251.62084,6.65228,57876.564004,30.0,o,19.26,323.27,00.05
00015,TA249N12,249.97080,11.63271,57876.566081,30.0,o,19.27,323.27,00.05
00016,TA244N12,244.86156,11.59292,57876.568173,30.0,o,19.25,323.27,00.05
00017,TA246N07,246.59111,6.61431,57876.570287,30.0,o,19.24,323.27,00.05
00018,TA253N02,254.08989,1.68410,57876.570812,30.0,o,19.25,323.27,00.05
00019,TA261N07,261.77031,6.62476,57876.571353,30.0,o,19.26,348.86,00.06
00020,TA254N12,255.11971,11.63314,57876.573598,30.0,o,19.27,348.86,00.06
00021,TA261S07,261.75029,-8.34765,57876.574122,30.0,o,19.17,376.11,00.08
