INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,RINGS.V3.skycell.0426.069,34.62752,-41.36981,57979.565721,45.0,i,20.94,00.17,00.00
00001,RINGS.V3.skycell.0426.079,34.64267,-40.96720,57979.565721,45.0,i,20.87,00.35,00.00
00002,RINGS.V3.skycell.0426.038,35.13108,-42.58837,57979.565721,45.0,i,20.94,00.51,00.00
00003,RINGS.V3.skycell.0426.048,35.14332,-42.18556,57979.565721,45.0,i,20.97,00.67,00.00
00004,RINGS.V3.skycell.0426.058,35.15541,-41.78273,57979.565721,45.0,i,20.92,00.83,00.00
00005,RINGS.V3.skycell.0426.068,35.16734,-41.37991,57979.565721,45.0,i,20.79,00.99,00.00
00006,RINGS.V3.skycell.0426.027,35.67273,-42.99914,57979.565721,45.0,i,20.55,01.15,00.00
00007,RINGS.V3.skycell.0426.037,35.68159,-42.59628,57979.565721,45.0,i,20.71,01.30,00.00
00008,RINGS.V3.skycell.0426.047,35.69033,-42.19336,57979.565721,45.0,i,20.67,01.47,00.00
00009,RINGS.V3.skycell.0426.057,35.69897,-41.79042,57979.565721,45.0,i,20.57,01.63,00.00
00010,RINGS.V3.skycell.0426.027,35.67273,-42.99914,57979.566385,45.0,i,20.73,01.63,00.00
00011,RINGS.V3.skycell.0426.037,35.68159,-42.59628,57979.566385,45.0,i,20.90,01.63,00.00
00012,RINGS.V3.skycell.0426.047,35.69033,-42.19336,57979.566385,45.0,i,20.68,01.63,00.00
00013,RINGS.V3.skycell.0426.057,35.69897,-41.79042,57979.566385,45.0,i,20.31,01.63,00.00
00014,RINGS.V3.skycell.0426.016,36.22163,-43.40732,57979.566385,45.0,i,20.85,01.80,00.00
00015,RINGS.V3.skycell.0426.026,36.22702,-43.00449,57979.566385,45.0,i,20.87,01.96,00.00
00016,RINGS.V3.skycell.0426.036,36.23234,-42.60156,57979.566385,45.0,i,20.87,02.12,00.00
00017,RINGS.V3.skycell.0426.046,36.23759,-42.19856,57979.566385,45.0,i,20.81,02.28,00.00
00018,RINGS.V3.skycell.0426.056,36.24278,-41.79555,57979.566385,45.0,i,20.77,02.44,00.00
00019,RINGS.V3.skycell.0426.066,36.24790,-41.39256,57979.566385,45.0,i,20.72,02.60,00.00
00020,RINGS.V3.skycell.0426.005,36.77786,-43.81277,57979.566385,45.0,i,20.85,02.76,00.00
00021,RINGS.V3.skycell.0426.015,36.77968,-43.41004,57979.566385,45.0,i,20.93,02.91,00.00
00022,RINGS.V3.skycell.0426.025,36.78148,-43.00717,57979.566385,45.0,i,20.94,03.08,00.00
00023,RINGS.V3.skycell.0426.035,36.78325,-42.60420,57979.566385,45.0,i,20.83,03.23,00.00
00024,RINGS.V3.skycell.0426.045,36.78500,-42.20117,57979.566385,45.0,i,20.88,03.39,00.00
00025,RINGS.V3.skycell.0426.055,36.78673,-41.79812,57979.566385,45.0,i,20.85,03.55,00.00
00026,RINGS.V3.skycell.0426.065,36.78844,-41.39509,57979.566385,45.0,i,20.93,03.71,00.00
00027,RINGS.V3.skycell.0426.064,37.32902,-41.39509,57979.566385,45.0,i,20.96,03.87,00.00
00028,RINGS.V3.skycell.0426.054,37.33073,-41.79812,57979.566385,45.0,i,20.90,04.03,00.00
00029,RINGS.V3.skycell.0426.044,37.33246,-42.20117,57979.566385,45.0,i,20.89,04.19,00.00
00030,RINGS.V3.skycell.0426.034,37.33421,-42.60420,57979.566385,45.0,i,20.63,04.34,00.00
00031,RINGS.V3.skycell.0426.024,37.33598,-43.00717,57979.566385,45.0,i,20.95,04.50,00.00
00032,RINGS.V3.skycell.0426.014,37.33778,-43.41004,57979.566385,45.0,i,20.91,04.66,00.00
00033,RINGS.V3.skycell.0426.004,37.33959,-43.81277,57979.566385,45.0,i,20.84,04.82,00.00
00034,RINGS.V3.skycell.0426.073,37.86451,-40.98963,57979.566385,45.0,i,20.77,04.98,00.00
00035,RINGS.V3.skycell.0426.063,37.86956,-41.39256,57979.566385,45.0,i,20.91,05.14,00.00
00036,RINGS.V3.skycell.0426.053,37.87468,-41.79555,57979.566385,45.0,i,20.94,05.30,00.00
00037,RINGS.V3.skycell.0426.043,37.87987,-42.19856,57979.566385,45.0,i,20.90,05.46,00.00
00038,RINGS.V3.skycell.0426.033,37.88512,-42.60156,57979.566385,45.0,i,20.72,05.62,00.00
00039,RINGS.V3.skycell.0426.023,37.89043,-43.00449,57979.566385,45.0,i,20.91,05.78,00.00
00040,RINGS.V3.skycell.0426.013,37.89582,-43.40732,57979.566385,45.0,i,20.93,05.95,00.00
00041,RINGS.V3.skycell.0426.003,37.90128,-43.81002,57979.566385,45.0,i,20.79,06.11,00.00
00042,RINGS.V3.skycell.0426.072,38.40154,-40.98464,57979.566385,45.0,i,20.44,06.27,00.00
00043,RINGS.V3.skycell.0426.062,38.40996,-41.38750,57979.566385,45.0,i,20.81,06.44,00.00
