INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,TA137N27,138.19993,26.93422,57773.579696,30.0,o,18.35,29.82,00.00
00001,TA147N22,147.98336,21.93362,57773.581326,30.0,o,18.42,59.71,00.02
00002,TA142N22,142.59406,21.89385,57773.581801,30.0,o,18.46,86.38,00.03
00003,TA138N17,138.83413,16.86335,57773.582305,30.0,o,18.40,115.44,00.03
00004,TA143N17,144.06355,16.89293,57773.582784,30.0,o,18.44,140.45,00.04
00005,TA148N17,149.26271,16.88279,57773.583283,30.0,o,18.46,166.15,00.05
00006,TA143N17,144.03460,16.85958,57773.591165,30.0,o,18.40,166.48,00.05
00007,TA147N22,147.96475,21.90092,57773.591651,30.0,o,18.40,166.48,00.05
00008,TA143N27,143.81465,26.93286,57773.593847,30.0,o,18.38,191.61,00.07
00009,TA149N27,149.45443,26.95245,57773.594400,30.0,o,18.41,217.42,00.09
00010,TA144N32,145.18398,31.95316,57773.596307,30.0,o,18.37,244.88,00.11
00011,TA150N32,151.14372,31.96269,57773.596816,30.0,o,18.37,270.86,00.12
00012,TA150N32,151.12395,31.93255,57773.600456,30.0,o,18.38,270.96,00.12
00013,TA149N27,149.43398,26.92301,57773.603200,30.0,o,18.35,271.08,00.12
00014,TA148N17,149.24407,16.85210,57773.605815,30.0,o,18.32,271.08,00.12
00015,TA180N17,180.38153,16.83359,57773.608143,30.0,o,18.39,300.90,00.12
00016,TA185N17,185.56197,16.83198,57773.612054,30.0,o,18.38,327.95,00.12
00017,TA180N17,180.37250,16.85074,57773.612531,30.0,o,18.39,328.01,00.12
00018,TA185N17,185.55118,16.85298,57773.631385,30.0,o,18.36,328.01,00.12
00019,TA190N17,190.75155,16.83390,57773.631861,30.0,o,18.38,355.11,00.13
00020,TA185N22,185.82201,21.90272,57773.632371,30.0,o,18.38,382.84,00.13
00021,TA188N27,188.86226,26.87376,57773.632847,30.0,o,18.37,411.24,00.13
00022,TA188N27,188.85224,26.89325,57773.633837,30.0,o,18.37,411.42,00.13
00023,TA190N17,190.74221,16.85119,57773.635330,30.0,o,18.36,411.42,00.13
00024,TA191N32,192.10178,31.87287,57773.636838,30.0,o,18.43,440.03,00.14
00025,TA194N27,194.50180,26.88388,57773.637334,30.0,o,18.35,466.16,00.14
00026,TA190N22,191.24195,21.90266,57773.637814,30.0,o,18.39,489.37,00.15
00027,TA180N17,180.40134,16.81002,57773.638291,30.0,o,18.38,489.60,00.15
00028,TA185N22,185.81081,21.92250,57773.642128,30.0,o,18.39,489.65,00.15
00029,TA196N22,196.66161,21.90407,57773.645291,30.0,o,18.43,515.68,00.15
00030,TA185N17,185.58052,16.81139,57773.647713,30.0,o,18.37,515.82,00.15
00031,TA190N22,191.23118,21.92270,57773.648190,30.0,o,18.39,515.82,00.15
00032,TA197N32,197.95180,31.89284,57773.648690,30.0,o,18.45,541.97,00.15
00033,TA180N17,180.41058,16.87124,57773.650014,30.0,o,18.36,541.97,00.15
00034,TA185N22,185.84032,21.88214,57773.650493,30.0,o,18.39,541.97,00.15
00035,TA191N32,192.08094,31.89242,57773.651006,30.0,o,18.43,542.05,00.15
00036,TA194N27,194.49112,26.90387,57773.653741,30.0,o,18.37,542.05,00.15
00037,TA188N27,188.89068,26.85305,57773.656513,30.0,o,18.36,542.05,00.15
00038,TA190N17,190.77070,16.81161,57773.659953,30.0,o,18.37,542.31,00.15
00039,TA196N22,196.64137,21.92300,57773.660430,30.0,o,18.38,542.31,00.15
00040,TA185N17,185.59079,16.87133,57773.662167,30.0,o,18.33,542.31,00.15
00041,TA190N22,191.26068,21.88236,57773.662642,30.0,o,18.36,542.33,00.15
00042,TA197N32,197.94145,31.91260,57773.663164,30.0,o,18.38,542.52,00.15
00043,TA180N17,180.39269,16.84030,57773.664656,30.0,o,18.27,542.52,00.15
00044,TA185N22,185.85113,21.94163,57773.665625,30.0,o,18.27,542.52,00.15
00045,TA191N32,192.12077,31.85240,57773.666149,30.0,o,18.30,542.52,00.15
00046,TA194N27,194.52073,26.86345,57773.668897,30.0,o,18.07,542.58,00.15
00047,TA188N27,188.90038,26.91293,57773.671137,30.0,o,17.95,542.68,00.15
00048,TA190N17,190.78058,16.87135,57773.673840,30.0,o,17.65,542.73,00.15
00049,TA196N22,196.68059,21.88255,57773.674316,30.0,o,17.63,542.83,00.15
00050,TA185N17,185.57199,16.84007,57773.675819,30.0,o,17.29,542.83,00.15
00051,TA190N22,191.27052,21.94134,57773.676295,30.0,o,17.34,542.83,00.15
00052,TA197N32,197.98043,31.87233,57773.676821,30.0,o,17.32,542.98,00.15
00053,TA185N22,185.83200,21.91095,57773.678376,30.0,o,17.01,542.98,00.15
00054,TA191N32,192.13005,31.91240,57773.679002,30.0,o,16.97,543.15,00.15
00055,TA194N27,194.53824,26.92302,57773.682232,30.0,o,16.68,543.21,00.15
00056,TA041N57,41.41905,58.38686,57774.298784,30.0,o,18.35,573.19,00.16
00057,TA041N57,41.39942,58.40723,57774.299735,30.0,o,18.33,573.29,00.16
00058,TA041N57,41.45882,58.36809,57774.309418,30.0,o,18.33,573.46,00.16
00059,TA041N57,41.47937,58.42947,57774.326038,30.0,o,18.35,573.59,00.16
00060,TA041N57,41.44079,58.40104,57774.343673,30.0,o,18.35,573.59,00.16
00061,TA135N52,134.99704,53.26375,57774.439866,30.0,o,18.73,603.54,00.16
00062,TA133N57,133.54254,58.30334,57774.440344,30.0,o,18.73,631.46,00.17
00063,TA143N47,143.14805,48.18602,57774.455001,30.0,o,18.78,661.21,00.20
00064,TA139N42,139.18459,43.19553,57774.455481,30.0,o,18.74,690.02,00.21
00065,TA142N37,142.06069,38.23468,57774.455957,30.0,o,18.73,718.04,00.22
00066,TA133N57,133.52072,58.32372,57774.456437,30.0,o,18.76,718.15,00.22
00067,TA135N47,135.90351,48.18494,57774.456913,30.0,o,18.75,741.46,00.22
00068,TA135N52,134.98660,53.28448,57774.457388,30.0,o,18.73,741.52,00.22
00069,TA148N37,148.39900,38.23277,57774.457884,30.0,o,18.78,768.62,00.25
00070,TA146N42,146.00167,43.19351,57774.458361,30.0,o,18.79,791.86,00.28
00071,TA143N52,143.12803,53.27333,57774.458839,30.0,o,18.78,816.51,00.31
00072,TA142N57,142.89259,58.34342,57774.459314,30.0,o,18.80,841.25,00.33
00073,TA142N37,142.05051,38.25724,57774.465529,30.0,o,18.73,841.29,00.33
00074,TA135N47,135.84705,48.26194,57774.466677,30.0,o,18.79,841.61,00.33
00075,TA139N42,139.16262,43.21660,57774.467360,30.0,o,18.77,841.68,00.33
00076,TA143N47,143.13372,48.20425,57774.468317,30.0,o,18.82,841.68,00.33
00077,TA135N52,135.03602,53.24424,57774.468793,30.0,o,18.74,841.68,00.33
00078,TA146N42,145.99143,43.21343,57774.469269,30.0,o,18.77,841.76,00.33
00079,TA135N47,135.88655,48.22338,57774.470864,30.0,o,18.76,841.76,00.33
00080,TA139N42,139.21048,43.17703,57774.471804,30.0,o,18.77,841.76,00.33
00081,TA152N57,152.30107,58.35552,57774.475998,30.0,o,18.74,868.71,00.34
00082,TA150N47,150.39918,48.20397,57774.476474,30.0,o,18.79,894.20,00.36
00083,TA152N42,152.82458,43.21382,57774.476951,30.0,o,18.79,919.07,00.37
00084,TA151N52,151.24091,53.28480,57774.477429,30.0,o,18.78,942.09,00.38
00085,TA142N57,142.87466,58.36446,57774.477905,30.0,o,18.78,942.26,00.38
00086,TA143N52,143.10988,53.29457,57774.478381,30.0,o,18.78,942.26,00.38
00087,TA139N42,139.18004,43.29416,57774.482459,30.0,o,18.78,942.26,00.38
00088,TA142N37,142.05070,38.27348,57774.482936,30.0,o,18.77,942.26,00.38
00089,TA135N52,134.99915,53.36217,57774.483928,30.0,o,18.76,942.26,00.38
00090,TA148N37,148.39075,38.25693,57774.484614,30.0,o,18.83,942.26,00.38
00091,TA143N47,143.17216,48.16481,57774.485095,30.0,o,18.85,942.26,00.38
00092,TA133N57,133.53743,58.40230,57774.485750,30.0,o,18.72,942.68,00.38
00093,TA143N52,143.10308,53.31268,57774.486225,30.0,o,18.77,942.68,00.38
00094,TA152N42,152.81480,43.23494,57774.486871,30.0,o,18.82,942.74,00.38
00095,TA142N57,142.92193,58.32324,57774.487350,30.0,o,18.75,942.74,00.38
00096,TA150N47,150.37439,48.22397,57774.487826,30.0,o,18.80,942.74,00.38
00097,TA154N37,154.72990,38.23329,57774.488304,30.0,o,18.75,968.23,00.38
00098,TA151N52,151.21876,53.30294,57774.488791,30.0,o,18.75,968.23,00.38
00099,TA150N47,150.42543,48.18387,57774.489755,30.0,o,18.77,968.31,00.38
00100,TA143N52,143.17640,53.31366,57774.490231,30.0,o,18.75,968.31,00.38
00101,TA133N57,133.49613,58.37179,57774.490870,30.0,o,18.71,968.40,00.38
00102,TA154N37,154.71140,38.25612,57774.491527,30.0,o,18.72,968.47,00.38
00103,TA152N42,152.85344,43.19526,57774.492004,30.0,o,18.77,968.56,00.38
00104,TA146N42,146.03042,43.17613,57774.492485,30.0,o,18.77,968.56,00.38
00105,TA143N47,143.19192,48.22482,57774.492964,30.0,o,18.75,968.56,00.38
00106,TA135N52,134.96165,53.33334,57774.493618,30.0,o,18.66,968.58,00.38
00107,TA135N47,135.90421,48.28255,57774.494097,30.0,o,18.70,968.58,00.38
00108,TA148N37,148.42902,38.21747,57774.494796,30.0,o,18.73,968.68,00.38
00109,TA142N37,142.05936,38.33340,57774.495972,30.0,o,18.67,968.68,00.38
