INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,TA143N17,144.37755,16.91384,57801.433352,30.0,o,18.49,28.54,00.03
00001,TA147N22,148.30811,21.96231,57801.436358,30.0,o,18.51,58.33,00.06
00002,TA148N17,149.57879,16.91207,57801.436861,30.0,o,18.49,83.93,00.10
00003,TA143N17,144.42790,18.05071,57801.448639,30.0,o,17.98,88.55,00.10
00004,TA143N17,144.36616,16.93251,57801.454500,30.0,o,18.48,88.55,00.10
00005,TA148N17,149.56667,16.93319,57801.454998,30.0,o,18.48,88.55,00.10
00006,TA154N17,154.77779,16.91415,57801.455500,30.0,o,18.48,115.19,00.10
00007,TA152N22,153.68747,21.96251,57801.456001,30.0,o,18.51,140.37,00.15
00008,TA156N32,157.41784,31.97232,57801.457514,30.0,o,18.52,171.22,00.16
00009,TA154N27,155.42766,26.97242,57801.458009,30.0,o,18.52,196.60,00.20
00010,TA158N22,159.08826,21.97272,57801.458503,30.0,o,18.50,222.41,00.20
00011,TA143N17,144.39795,16.88931,57801.459490,30.0,o,18.48,223.04,00.20
00012,TA143N17,144.41720,18.07085,57801.460816,30.0,o,17.99,223.04,00.20
00013,TA147N22,148.35674,23.10047,57801.463724,30.0,o,17.99,228.50,00.20
00014,TA147N22,148.29610,21.98030,57801.463868,30.0,o,18.48,228.50,00.20
00015,TA152N22,153.67677,21.98117,57801.465010,30.0,o,18.49,228.50,00.20
00016,TA148N17,149.62725,18.05079,57801.467631,30.0,o,17.96,228.50,00.20
00017,TA156N32,157.40680,31.99155,57801.468790,30.0,o,18.51,228.50,00.20
00018,TA154N27,155.40659,26.99177,57801.469284,30.0,o,18.51,228.50,00.20
00019,TA158N22,159.06726,21.99192,57801.471958,30.0,o,18.49,228.50,00.20
00020,TA143N17,144.44634,18.03116,57801.472816,30.0,o,17.97,228.50,00.20
00021,TA147N22,148.33649,21.94082,57801.473874,30.0,o,18.48,228.50,00.20
00022,TA147N22,148.34538,23.12079,57801.475721,30.0,o,18.00,228.50,00.20
00023,TA143N17,144.40793,16.95171,57801.476563,30.0,o,18.45,228.50,00.20
00024,TA152N22,153.73622,23.10047,57801.476876,30.0,o,18.02,229.34,00.20
00025,TA148N17,149.59662,16.89192,57801.477056,30.0,o,18.45,229.55,00.20
