INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,RINGS.V3.skycell.1445.025,133.28042,4.99889,57317.592172,200.0,r,21.83,00.10,00.00
00001,RINGS.V3.skycell.1445.015,133.28057,4.59858,57317.592172,200.0,r,21.88,00.26,00.00
00002,RINGS.V3.skycell.1445.005,133.28072,4.19842,57317.592172,200.0,r,21.79,00.42,00.00
00003,RINGS.V3.skycell.1355.091,133.40208,3.79911,57317.592172,200.0,r,21.84,00.58,00.00
00004,RINGS.V3.skycell.1445.004,133.68514,4.19842,57317.592172,200.0,r,21.85,00.73,00.00
00005,RINGS.V3.skycell.1445.014,133.68529,4.59858,57317.592172,200.0,r,21.93,00.89,00.00
00006,RINGS.V3.skycell.1445.024,133.68544,4.99889,57317.592172,200.0,r,21.84,01.00,00.00
00007,RINGS.V3.skycell.1445.034,133.68559,5.39929,57317.592172,200.0,r,21.79,01.15,00.00
00008,RINGS.V3.skycell.1445.003,134.08955,4.19821,57317.592172,200.0,r,21.79,01.31,00.00
00009,RINGS.V3.skycell.1445.013,134.08999,4.59836,57317.592172,200.0,r,21.77,01.47,00.00
00010,RINGS.V3.skycell.1445.023,134.09044,4.99864,57317.592172,200.0,r,21.83,01.57,00.00
00011,RINGS.V3.skycell.1445.033,134.09088,5.39903,57317.592172,200.0,r,21.86,01.73,00.00
00012,RINGS.V3.skycell.1445.043,134.09133,5.79947,57317.592172,200.0,r,21.85,01.89,00.00
00013,RINGS.V3.skycell.1445.002,134.49389,4.19779,57317.592172,200.0,r,21.78,02.15,00.00
00014,RINGS.V3.skycell.1445.012,134.49463,4.59790,57317.592172,200.0,r,21.67,02.36,00.00
00015,RINGS.V3.skycell.1445.022,134.49538,4.99815,57317.592172,200.0,r,21.82,02.52,00.00
00016,RINGS.V3.skycell.1445.032,134.49612,5.39849,57317.592172,200.0,r,21.83,02.78,00.00
00017,RINGS.V3.skycell.1445.042,134.49686,5.79889,57317.592172,200.0,r,21.78,02.99,00.00
00018,RINGS.V3.skycell.1445.011,134.89918,4.59721,57317.592172,200.0,r,21.78,03.15,00.00
00019,RINGS.V3.skycell.1445.021,134.90021,4.99740,57317.592172,200.0,r,21.81,03.25,00.00
00020,RINGS.V3.skycell.1445.031,134.90125,5.39768,57317.592172,200.0,r,21.92,03.41,00.00
00021,RINGS.V3.skycell.1445.041,134.90229,5.79803,57317.592172,200.0,r,21.79,03.57,00.00
00022,RINGS.V3.skycell.1356.087,134.99860,3.39983,57317.592172,200.0,r,21.79,03.83,00.00
00023,RINGS.V3.skycell.1356.077,134.99885,2.99986,57317.592172,200.0,r,21.71,04.04,00.00
00024,RINGS.V3.skycell.1445.030,135.30624,5.39661,57317.592172,200.0,r,21.74,04.20,00.00
00025,RINGS.V3.skycell.1445.040,135.30758,5.79687,57317.592172,200.0,r,21.64,04.35,00.00
00026,RINGS.V3.skycell.1446.039,135.70457,5.39661,57317.592172,200.0,r,21.78,04.56,00.00
00027,RINGS.V3.skycell.1446.019,135.70724,4.59630,57317.592172,200.0,r,21.81,04.83,00.00
00028,RINGS.V3.skycell.1446.009,135.70857,4.19633,57317.592172,200.0,r,21.81,05.04,00.00
00029,RINGS.V3.skycell.1445.025,133.28042,4.99889,57317.594665,200.0,i,21.80,05.04,00.00
00030,RINGS.V3.skycell.1445.015,133.28057,4.59858,57317.594665,200.0,i,21.71,05.04,00.00
00031,RINGS.V3.skycell.1445.005,133.28072,4.19842,57317.594665,200.0,i,21.67,05.04,00.00
00032,RINGS.V3.skycell.1355.091,133.40208,3.79911,57317.594665,200.0,i,21.64,05.04,00.00
00033,RINGS.V3.skycell.1445.004,133.68514,4.19842,57317.594665,200.0,i,21.75,05.04,00.00
00034,RINGS.V3.skycell.1445.014,133.68529,4.59858,57317.594665,200.0,i,21.82,05.04,00.00
00035,RINGS.V3.skycell.1445.024,133.68544,4.99889,57317.594665,200.0,i,21.83,05.04,00.00
