INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,RINGS.V3.skycell.1446.035,137.32522,5.39929,57802.289755,45.0,i,21.54,00.21,00.00
00001,RINGS.V3.skycell.1446.015,137.32552,4.59858,57802.289755,45.0,i,21.36,00.42,00.00
00002,RINGS.V3.skycell.1446.005,137.32567,4.19842,57802.289755,45.0,i,21.35,00.63,00.00
00003,RINGS.V3.skycell.1446.014,137.73024,4.59858,57802.289755,45.0,i,21.37,00.84,00.00
00004,RINGS.V3.skycell.1446.024,137.73039,4.99889,57802.289755,45.0,i,21.52,01.05,00.00
00005,RINGS.V3.skycell.1446.044,137.73069,5.79976,57802.289755,45.0,i,21.60,01.26,00.00
00006,RINGS.V3.skycell.1356.090,137.80245,3.79837,57802.289755,45.0,i,21.41,01.47,00.00
00007,RINGS.V3.skycell.1446.003,138.13450,4.19821,57802.289755,45.0,i,21.49,01.68,00.00
00008,RINGS.V3.skycell.1446.013,138.13495,4.59836,57802.289755,45.0,i,21.45,01.89,00.00
00009,RINGS.V3.skycell.1446.033,138.13584,5.39903,57802.289755,45.0,i,21.59,02.10,00.00
00010,RINGS.V3.skycell.1446.043,138.13628,5.79947,57802.289755,45.0,i,21.62,02.31,00.00
00011,RINGS.V3.skycell.1357.089,138.19792,3.39867,57802.289755,45.0,i,21.45,02.52,00.00
00012,RINGS.V3.skycell.1446.012,138.53959,4.59790,57802.289755,45.0,i,21.41,02.73,00.01
00013,RINGS.V3.skycell.1446.022,138.54033,4.99815,57802.289755,45.0,i,21.45,02.94,00.01
00014,RINGS.V3.skycell.1446.042,138.54182,5.79889,57802.289755,45.0,i,21.58,03.15,00.01
00015,RINGS.V3.skycell.1446.052,138.54256,6.19931,57802.289755,45.0,i,21.45,03.36,00.01
00016,RINGS.V3.skycell.1357.098,138.59785,3.79911,57802.289755,45.0,i,21.52,03.57,00.01
00017,RINGS.V3.skycell.1357.088,138.59819,3.39933,57802.289755,45.0,i,21.45,03.78,00.01
