INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,TA112N17,113.14210,17.25217,57757.446224,30.0,c,18.98,29.74,00.00
00001,TA112N17,113.13057,17.27284,57757.464390,30.0,c,18.96,29.74,00.00
00002,TA117N17,118.36134,17.25398,57757.464894,30.0,c,18.98,56.91,00.03
00003,TA115N22,116.31150,22.26274,57757.465392,30.0,c,18.93,84.35,00.04
00004,TA115N27,116.21155,27.32235,57757.465893,30.0,c,18.87,111.94,00.05
00005,TA120N27,121.85444,27.27691,57757.467741,30.0,c,18.90,139.74,00.08
00006,TA120N32,121.82543,32.31559,57757.468250,30.0,c,18.94,166.86,00.11
00007,TA120N22,121.67276,22.20455,57757.468819,30.0,c,18.94,190.73,00.13
00008,TA122N17,123.62066,17.19413,57757.469316,30.0,c,19.00,216.96,00.13
00009,TA117N17,118.38212,17.21500,57757.469808,30.0,c,18.99,216.96,00.13
00010,TA115N22,116.30076,22.28339,57757.473762,30.0,c,18.91,217.01,00.13
00011,TA115N27,116.20122,27.34156,57757.477559,30.0,c,18.85,217.06,00.13
00012,TA120N32,121.78179,32.39239,57757.478052,30.0,c,18.90,218.06,00.13
00013,TA120N27,121.81194,27.35199,57757.478551,30.0,c,18.88,218.06,00.13
00014,TA115N27,116.23191,27.30066,57757.480567,30.0,c,18.84,218.06,00.13
00015,TA120N22,121.63185,22.28133,57757.481068,30.0,c,18.91,218.06,00.13
00016,TA115N22,116.33180,22.24049,57757.482771,30.0,c,18.90,218.06,00.13
00017,TA112N17,113.16199,17.23072,57757.485270,30.0,c,18.93,218.06,00.13
00018,TA122N17,123.58167,17.27251,57757.485763,30.0,c,18.96,218.32,00.13
00019,TA126N27,127.42289,27.33201,57757.486755,30.0,c,18.92,245.39,00.13
00020,TA126N32,127.75329,32.37149,57757.487249,30.0,c,18.92,270.83,00.14
00021,TA117N17,118.38144,17.23327,57757.492512,30.0,c,18.96,270.83,00.14
00022,TA112N17,113.17223,17.29247,57757.493020,30.0,c,18.93,270.83,00.14
00023,TA120N22,121.66123,22.24307,57757.495003,30.0,c,18.93,270.83,00.14
00024,TA115N27,116.25215,27.36210,57757.496133,30.0,c,18.87,270.83,00.14
00025,TA120N27,121.84247,27.31186,57757.497121,30.0,c,18.88,270.83,00.14
00026,TA120N32,121.81231,32.35161,57757.498647,30.0,c,18.90,270.83,00.14
00027,TA126N27,127.41222,27.35216,57757.499143,30.0,c,18.91,270.83,00.14
00028,TA126N32,127.74253,32.39170,57757.499646,30.0,c,18.93,271.14,00.15
00029,TA126N32,127.80472,32.29541,57757.501466,30.0,c,18.91,271.41,00.15
00030,TA120N32,121.82086,32.41443,57757.502251,30.0,c,18.87,271.51,00.15
00031,TA126N27,127.45106,27.31303,57757.503271,30.0,c,18.91,271.98,00.15
00032,TA120N22,121.67260,22.30025,57757.505414,30.0,c,18.90,271.98,00.15
00033,TA115N22,116.34304,22.29979,57757.505909,30.0,c,18.85,271.98,00.15
00034,TA112N17,113.15288,17.26072,57757.506904,30.0,c,18.90,271.98,00.15
00035,TA117N17,118.40262,17.29093,57757.507401,30.0,c,18.93,271.98,00.15
00036,TA122N17,123.61210,17.23153,57757.507900,30.0,c,18.94,271.98,00.15
00037,TA122N17,123.62191,17.29369,57757.515911,30.0,c,18.94,271.98,00.15
00038,TA117N17,118.37233,17.26308,57757.516406,30.0,c,18.95,271.98,00.15
00039,TA115N22,116.32205,22.27249,57757.516907,30.0,c,18.81,271.98,00.15
00040,TA120N22,121.65217,22.27262,57757.517402,30.0,c,18.91,271.98,00.15
00041,TA115N27,116.22283,27.33236,57757.518959,30.0,c,18.83,271.98,00.15
00042,TA120N27,121.85303,27.37246,57757.519452,30.0,c,18.86,271.98,00.15
00043,TA126N27,127.46236,27.37291,57757.519964,30.0,c,18.92,271.98,00.15
00044,TA126N32,127.79126,32.41344,57757.524607,30.0,c,18.94,272.04,00.15
00045,TA120N32,121.80354,32.38054,57757.525667,30.0,c,18.89,272.04,00.15
00046,TA120N27,121.83317,27.34330,57757.527987,30.0,c,18.87,272.04,00.15
00047,TA122N17,123.60332,17.26148,57757.530021,30.0,c,18.94,272.04,00.15
00048,TA126N27,127.44395,27.34128,57757.541319,30.0,c,18.92,272.04,00.15
00049,TA126N32,127.76078,32.38305,57757.543613,30.0,c,18.93,272.04,00.15
00050,TA108S07,108.78678,-7.66191,57758.296960,30.0,c,18.25,301.31,00.16
00051,TA096S17,96.19525,-17.92936,57758.297482,30.0,c,18.36,331.31,00.16
00052,TA106S02,106.61708,-2.39172,57758.298010,30.0,c,18.33,361.84,00.16
00053,TA103S07,103.56677,-7.20130,57758.299086,30.0,c,18.34,389.22,00.16
00054,TA100S12,100.60597,-12.79026,57758.300133,30.0,c,18.33,418.23,00.16
00055,TA108N07,108.83888,7.31724,57758.301295,30.0,c,18.35,448.29,00.17
00056,TA108N02,108.67787,2.58843,57758.302359,30.0,c,18.32,472.05,00.17
00057,TA105S12,105.14686,-12.19018,57758.303443,30.0,c,18.29,493.09,00.18
00058,TA101S17,102.21624,-17.77973,57758.304444,30.0,c,18.27,520.94,00.18
00059,TA110N12,110.44958,12.27707,57758.305622,30.0,c,18.37,547.48,00.18
00060,TA099S22,99.01592,-22.91828,57758.306233,30.0,c,18.26,575.49,00.19
00061,TA108S07,109.08754,-7.36126,57758.306757,30.0,c,18.29,578.01,00.19
00062,TA096S17,97.13604,-17.02898,57758.307283,30.0,c,18.40,582.57,00.19
00063,TA106S02,106.16756,-2.24108,57758.307804,30.0,c,18.35,584.67,00.19
00064,TA103S07,104.17692,-7.80114,57758.308880,30.0,c,18.37,584.83,00.19
00065,TA111S02,111.32792,-2.69162,57758.310000,30.0,c,18.32,607.91,00.20
00066,TA100S12,99.83624,-12.93947,57758.310528,30.0,c,18.41,610.85,00.20
00067,TA108N07,109.13886,7.61759,57758.311078,30.0,c,18.43,612.79,00.20
00068,TA105S12,105.75675,-12.79003,57758.312630,30.0,c,18.32,617.46,00.20
00069,TA112N17,112.21056,17.26723,57758.313792,30.0,c,18.42,621.97,00.20
00070,TA101S17,101.42599,-17.92957,57758.314415,30.0,c,18.34,622.39,00.20
00071,TA110N12,110.75946,12.57737,57758.314994,30.0,c,18.43,624.07,00.20
00072,TA099S22,99.99619,-22.01864,57758.315592,30.0,c,18.33,627.48,00.20
00073,TA108S07,108.63747,-7.21100,57758.316099,30.0,c,18.35,627.48,00.20
00074,TA096S17,96.66672,-17.47913,57758.316626,30.0,c,18.43,627.69,00.20
00075,TA113N02,113.36866,2.28796,57758.318296,30.0,c,18.40,651.87,00.21
00076,TA103S07,103.41659,-7.95003,57758.318826,30.0,c,18.42,652.81,00.21
00077,TA111S02,111.62802,-2.39133,57758.319339,30.0,c,18.38,654.49,00.21
00078,TA100S12,100.76665,-12.03972,57758.319843,30.0,c,18.44,656.48,00.21
00079,TA108N07,108.68879,7.76788,57758.320396,30.0,c,18.45,657.74,00.21
00080,TA108N02,108.82758,2.13913,57758.321470,30.0,c,18.44,657.74,00.21
00081,TA114N07,113.91912,7.31744,57758.322653,30.0,c,18.41,681.14,00.23
00082,TA105S12,104.98641,-12.93987,57758.323205,30.0,c,18.40,681.56,00.23
00083,TA112N17,112.53063,17.56776,57758.323811,30.0,c,18.45,682.71,00.23
00084,TA101S17,102.37625,-17.02965,57758.324426,30.0,c,18.40,683.39,00.23
00085,TA099S22,99.50677,-22.46860,57758.324932,30.0,c,18.38,683.60,00.23
00086,TA108S07,109.23685,-7.80090,57758.325457,30.0,c,18.37,685.07,00.23
00087,TA096S17,96.66726,-17.47902,57758.325976,30.0,c,18.45,685.07,00.23
00088,TA115N22,115.36159,22.26798,57758.326662,30.0,c,18.39,688.90,00.23
00089,TA113N02,113.66791,2.58873,57758.327770,30.0,c,18.41,690.53,00.23
00090,TA103S07,104.32627,-7.04992,57758.328300,30.0,c,18.42,690.84,00.23
00091,TA111S02,111.17697,-2.24077,57758.328801,30.0,c,18.41,690.84,00.23
00092,TA100S12,100.30672,-12.48960,57758.329315,30.0,c,18.45,691.05,00.23
00093,TA108N07,109.28765,7.16883,57758.329866,30.0,c,18.48,691.05,00.23
00094,TA115N12,115.58936,12.27779,57758.331014,30.0,c,18.44,712.98,00.25
00095,TA108N02,108.07672,1.99019,57758.331536,30.0,c,18.48,715.18,00.25
00096,TA114N07,114.22867,7.61841,57758.332036,30.0,c,18.45,716.81,00.25
00097,TA105S12,105.90619,-12.04003,57758.332584,30.0,c,18.44,717.54,00.25
00098,TA112N17,112.05978,17.70854,57758.333182,30.0,c,18.48,718.75,00.25
00099,TA101S17,101.90656,-17.47950,57758.333803,30.0,c,18.44,718.75,00.25
00100,TA110N12,110.90836,12.12837,57758.334385,30.0,c,18.48,718.75,00.25
00101,TA099S22,99.50687,-22.46844,57758.334982,30.0,c,18.40,718.75,00.25
00102,TA117N17,117.44038,17.25786,57758.335632,30.0,c,18.44,718.75,00.25
00103,TA115N22,115.68195,22.56831,57758.336138,30.0,c,18.41,718.91,00.25
00104,TA106S02,106.91634,-2.08977,57758.336756,30.0,c,18.47,719.12,00.25
00105,TA113N02,113.21709,2.73894,57758.337258,30.0,c,18.48,719.12,00.25
00106,TA103S07,103.86659,-7.49988,57758.337775,30.0,c,18.49,719.12,00.25
00107,TA111S02,111.77625,-2.84050,57758.338273,30.0,c,18.47,720.48,00.26
00108,TA100S12,100.30697,-12.48937,57758.338791,30.0,c,18.52,720.48,00.26
00109,TA120N22,120.69152,22.26809,57758.339484,30.0,c,18.39,720.48,00.26
00110,TA108N07,108.53775,7.01972,57758.340076,30.0,c,18.49,721.37,00.26
00111,TA115N12,115.89909,12.57846,57758.340581,30.0,c,18.45,723.00,00.26
00112,TA108N02,108.97709,2.88990,57758.341109,30.0,c,18.49,723.00,00.26
00113,TA114N07,113.76780,7.76884,57758.341613,30.0,c,18.46,723.00,00.26
00114,TA105S12,105.44653,-12.48986,57758.342159,30.0,c,18.43,723.00,00.26
00115,TA112N17,112.67921,17.10894,57758.342767,30.0,c,18.49,723.00,00.26
00116,TA101S17,101.90675,-17.47940,57758.343393,30.0,c,18.46,723.00,00.26
00117,TA120N12,120.73927,12.27764,57758.344016,30.0,c,18.43,746.24,00.26
00118,TA110N12,110.13857,11.97872,57758.344520,30.0,c,18.52,747.65,00.26
00119,TA117N17,117.74999,17.55829,57758.345039,30.0,c,18.44,747.65,00.26
00120,TA108S07,109.39601,-7.04994,57758.345630,30.0,c,18.45,748.18,00.26
00121,TA115N22,115.19038,22.71919,57758.346272,30.0,c,18.40,749.12,00.26
00122,TA106S02,106.46654,-2.53952,57758.346926,30.0,c,18.48,749.12,00.26
00123,TA113N02,113.81607,2.13940,57758.347421,30.0,c,18.46,750.43,00.26
00124,TA103S07,103.86658,-7.49948,57758.347941,30.0,c,18.48,750.43,00.26
00125,TA120N32,120.74420,32.37896,57758.348681,30.0,c,18.40,754.79,00.26
00126,TA111S02,111.02573,-2.98967,57758.349384,30.0,c,18.48,755.05,00.26
00127,TA108N07,109.44739,7.91998,57758.349878,30.0,c,18.54,755.05,00.26
00128,TA115N12,115.43769,12.72906,57758.350390,30.0,c,18.52,755.05,00.26
00129,TA108N02,108.52672,2.44071,57758.350928,30.0,c,18.53,755.05,00.26
00130,TA114N07,114.37663,7.16952,57758.351431,30.0,c,18.52,756.10,00.26
00131,TA105S12,105.44622,-12.48955,57758.351973,30.0,c,18.49,756.10,00.26
00132,TA120N27,120.82201,27.33903,57758.352687,30.0,c,18.41,756.10,00.26
00133,TA112N17,111.89880,16.96031,57758.353256,30.0,c,18.52,756.83,00.26
00134,TA120N12,121.04826,12.57867,57758.353748,30.0,c,18.49,758.46,00.26
00135,TA110N12,111.05840,12.87961,57758.354250,30.0,c,18.54,758.72,00.26
00136,TA117N17,117.27858,17.70956,57758.354764,30.0,c,18.50,758.72,00.26
00137,TA108S07,108.93595,-7.50984,57758.355373,30.0,c,18.47,758.72,00.26
00138,TA115N22,115.83935,22.11987,57758.356029,30.0,c,18.48,758.72,00.26
00139,TA106S02,106.46633,-2.53905,57758.356697,30.0,c,18.54,758.72,00.26
00140,TA122N17,122.65904,17.25856,57758.357326,30.0,c,18.50,758.72,00.26
00141,TA113N02,113.06594,1.99041,57758.357904,30.0,c,18.57,758.88,00.26
00142,TA120N32,121.09313,32.67931,57758.358605,30.0,c,18.47,760.03,00.26
00143,TA111S02,111.92562,-2.08946,57758.359313,30.0,c,18.54,760.77,00.26
00144,TA120N22,120.51949,22.71939,57758.359953,30.0,c,18.43,760.77,00.26
00145,TA115N12,116.04721,12.13001,57758.360521,30.0,c,18.55,760.98,00.26
00146,TA108N02,108.52665,2.44085,57758.361062,30.0,c,18.56,760.98,00.26
00147,TA123N37,122.96482,37.34990,57758.361817,30.0,c,18.48,787.00,00.28
00148,TA114N07,113.61666,7.02004,57758.362525,30.0,c,18.54,787.00,00.28
00149,TA120N27,121.16058,27.63967,57758.363177,30.0,c,18.43,787.00,00.28
00150,TA112N17,112.83882,17.86090,57758.363759,30.0,c,18.54,787.36,00.28
00151,TA120N12,120.58683,12.72937,57758.364259,30.0,c,18.54,787.36,00.28
00152,TA110N12,110.59819,12.43044,57758.364768,30.0,c,18.58,787.36,00.28
00153,TA117N17,117.90748,17.10993,57758.365303,30.0,c,18.56,787.36,00.28
00154,TA108S07,108.93537,-7.50954,57758.365917,30.0,c,18.53,787.36,00.28
00155,TA125N42,125.44728,42.31946,57758.366727,30.0,c,18.52,815.58,00.31
00156,TA115N22,115.02933,21.96985,57758.367312,30.0,c,18.52,816.21,00.31
00157,TA113N02,113.96567,2.89025,57758.367940,30.0,c,18.53,816.21,00.31
00158,TA120N32,120.56169,32.83009,57758.368647,30.0,c,18.47,817.52,00.31
00159,TA111S02,111.47513,-2.53934,57758.369387,30.0,c,18.56,817.52,00.31
00160,TA120N22,121.16799,22.11987,57758.370053,30.0,c,18.50,817.52,00.31
00161,TA108N07,108.98652,7.47106,57758.370723,30.0,c,18.58,817.52,00.31
00162,TA126N27,126.42994,27.33924,57758.371419,30.0,c,18.48,817.52,00.31
00163,TA115N12,115.28698,11.98013,57758.372056,30.0,c,18.58,817.68,00.31
00164,TA123N37,123.34334,37.65045,57758.372767,30.0,c,18.53,819.31,00.31
00165,TA114N07,114.52632,7.91995,57758.373514,30.0,c,18.60,819.99,00.31
00166,TA126N52,126.71346,52.34062,57758.374323,30.0,c,18.54,850.20,00.32
00167,TA123N37,122.77391,37.80024,57758.374842,30.0,c,18.54,851.31,00.32
00168,TA120N32,121.27179,32.22967,57758.375336,30.0,c,18.54,851.31,00.32
00169,TA126N32,126.70176,32.38879,57758.375840,30.0,c,18.54,851.31,00.32
00170,TA120N27,121.33000,27.18947,57758.376334,30.0,c,18.52,851.31,00.32
00171,TA120N27,120.65044,27.78914,57758.376833,30.0,c,18.52,851.31,00.32
00172,TA126N27,126.76990,27.63851,57758.377324,30.0,c,18.53,851.31,00.32
00173,TA120N22,120.35860,21.96947,57758.377833,30.0,c,18.56,851.31,00.32
00174,TA115N22,116.00980,22.86962,57758.378329,30.0,c,18.56,851.31,00.32
00175,TA122N17,122.50709,17.70899,57758.378827,30.0,c,18.56,851.73,00.32
00176,TA117N17,117.12832,16.95939,57758.379327,30.0,c,18.62,851.73,00.32
00177,TA120N12,121.19590,12.12946,57758.379826,30.0,c,18.60,853.51,00.32
00178,TA112N17,112.36816,17.42134,57758.380322,30.0,c,18.60,853.51,00.32
00179,TA115N12,116.20654,12.88016,57758.380821,30.0,c,18.58,853.51,00.32
00180,TA110N12,110.59668,12.43126,57758.381332,30.0,c,18.63,853.51,00.32
00181,TA112N17,112.36779,17.42145,57758.381831,30.0,c,18.61,853.51,00.32
00182,TA114N07,114.06562,7.47079,57758.382351,30.0,c,18.64,853.51,00.32
00183,TA113N02,113.51486,2.44109,57758.382854,30.0,c,18.64,853.51,00.32
00184,TA111S02,111.47400,-2.53875,57758.383346,30.0,c,18.61,853.51,00.32
00185,TA114N07,114.06540,7.47112,57758.383840,30.0,c,18.63,853.51,00.32
00186,TA113N02,113.51463,2.44122,57758.384331,30.0,c,18.62,853.51,00.32
00187,TA115N12,115.74577,12.43071,57758.384831,30.0,c,18.59,853.51,00.32
00188,TA120N12,121.34529,12.87989,57758.385334,30.0,c,18.59,854.24,00.32
00189,TA120N12,120.42596,11.97941,57758.385831,30.0,c,18.62,854.98,00.32
00190,TA117N17,118.06763,17.86037,57758.386331,30.0,c,18.64,854.98,00.32
00191,TA122N17,123.12607,17.10942,57758.386828,30.0,c,18.61,855.08,00.32
00192,TA115N22,115.51851,22.42116,57758.387338,30.0,c,18.58,855.08,00.32
00193,TA120N22,121.33736,22.87039,57758.387866,30.0,c,18.57,855.08,00.32
00194,TA126N27,126.25840,27.78991,57758.388367,30.0,c,18.55,855.08,00.32
00195,TA120N27,120.48987,27.04007,57758.388866,30.0,c,18.54,855.08,00.32
00196,TA126N32,127.06005,32.68968,57758.389365,30.0,c,18.60,855.66,00.32
00197,TA120N32,120.38164,32.07995,57758.389853,30.0,c,18.57,856.34,00.32
00198,TA129N37,129.29172,37.33974,57758.390352,30.0,c,18.57,878.64,00.33
00199,TA132N42,132.26459,42.29913,57758.390861,30.0,c,18.57,904.81,00.35
00200,TA123N37,123.52327,37.19977,57758.391351,30.0,c,18.61,904.81,00.35
00201,TA125N42,125.23509,42.77004,57758.391849,30.0,c,18.63,907.75,00.35
00202,TA128N47,128.53760,47.29045,57758.392344,30.0,c,18.57,931.62,00.38
00203,TA128N47,128.98777,47.59041,57758.392838,30.0,c,18.57,933.71,00.38
00204,TA126N52,127.20241,52.64086,57758.393336,30.0,c,18.60,936.39,00.38
00205,TA126N52,126.46268,52.79100,57758.393828,30.0,c,18.60,938.38,00.38
00206,TA133N57,133.41722,57.40071,57758.394322,30.0,c,18.57,966.24,00.41
00207,TA128N47,128.31871,47.74154,57758.394819,30.0,c,18.58,966.92,00.41
00208,TA135N52,134.89223,52.36042,57758.395314,30.0,c,18.56,990.21,00.44
00209,TA123N37,122.58413,37.05022,57758.395813,30.0,c,18.62,990.89,00.44
00210,TA125N42,126.05495,42.17072,57758.396317,30.0,c,18.67,990.89,00.44
00211,TA132N42,132.67489,42.60019,57758.396815,30.0,c,18.62,993.20,00.44
00212,TA120N32,121.45251,32.98023,57758.397306,30.0,c,18.62,993.36,00.44
00213,TA129N37,129.67238,37.63996,57758.397794,30.0,c,18.60,994.77,00.44
00214,TA120N27,121.50062,27.94006,57758.398309,30.0,c,18.62,994.77,00.44
00215,TA126N32,127.23047,32.23970,57758.398817,30.0,c,18.64,994.77,00.44
00216,TA126N32,126.52119,32.83988,57758.399310,30.0,c,18.64,994.77,00.44
00217,TA126N27,126.93907,27.18951,57758.399813,30.0,c,18.63,994.77,00.44
00218,TA120N22,120.84871,22.42033,57758.400316,30.0,c,18.65,994.77,00.44
00219,TA122N17,122.34700,16.95924,57758.400900,30.0,c,18.70,994.93,00.44
00220,TA117N17,117.59715,17.40995,57758.401454,30.0,c,18.70,994.93,00.44
00221,TA120N12,120.88598,12.43019,57758.401952,30.0,c,18.71,994.93,00.44
00222,TA115N12,115.74567,12.43132,57758.402469,30.0,c,18.73,994.93,00.44
00223,TA117N17,117.59671,17.41145,57758.402968,30.0,c,18.71,994.93,00.44
00224,TA115N22,115.51705,22.42299,57758.403475,30.0,c,18.64,994.93,00.44
00225,TA120N22,120.84705,22.42207,57758.404158,30.0,c,18.70,994.93,00.44
00226,TA120N12,120.88525,12.43089,57758.404799,30.0,c,18.76,994.93,00.44
00227,TA122N17,123.28584,17.86104,57758.405309,30.0,c,18.74,995.45,00.44
00228,TA126N27,126.08806,27.04101,57758.405949,30.0,c,18.68,996.14,00.44
00229,TA129N37,129.10165,37.79027,57758.406489,30.0,c,18.69,996.14,00.44
00230,TA126N32,126.35096,32.08023,57758.406992,30.0,c,18.73,996.14,00.44
00231,TA135N47,135.80658,47.28053,57758.407504,30.0,c,18.69,1017.91,00.45
00232,TA132N42,132.05482,42.75029,57758.408003,30.0,c,18.74,1017.91,00.45
00233,TA120N32,120.92110,32.53143,57758.408511,30.0,c,18.72,1017.91,00.45
00234,TA135N47,136.24668,47.58080,57758.409006,30.0,c,18.70,1019.85,00.45
00235,TA142N57,142.76675,57.44101,57758.409505,30.0,c,18.68,1047.07,00.46
00236,TA125N42,125.04611,42.02132,57758.409998,30.0,c,18.81,1047.65,00.46
00237,TA135N52,135.38103,52.66147,57758.410494,30.0,c,18.70,1048.85,00.46
00238,TA123N37,123.72394,37.95111,57758.410985,30.0,c,18.77,1049.01,00.46
00239,TA133N57,133.97613,57.70204,57758.411479,30.0,c,18.74,1051.11,00.47
00240,TA128N47,129.19875,47.14202,57758.411974,30.0,c,18.77,1051.11,00.47
00241,TA125N42,126.26645,42.92140,57758.412468,30.0,c,18.84,1051.43,00.47
00242,TA136N62,136.30301,62.40164,57758.412968,30.0,c,18.75,1077.39,00.48
00243,TA126N52,127.45317,52.19251,57758.413459,30.0,c,18.79,1077.50,00.48
00244,TA120N27,120.98888,27.49125,57758.413959,30.0,c,18.74,1077.50,00.48
00245,TA136N62,136.95364,62.70149,57758.414460,30.0,c,18.77,1080.70,00.49
00246,TA133N57,133.13774,57.85210,57758.414958,30.0,c,18.77,1081.74,00.49
00247,TA135N52,134.64159,52.80234,57758.415470,30.0,c,18.79,1081.74,00.49
00248,TA147N62,147.01349,62.42109,57758.415966,30.0,c,18.78,1105.66,00.51
00249,TA142N57,143.32800,57.74118,57758.416459,30.0,c,18.79,1107.08,00.51
00250,TA135N47,135.57845,47.73160,57758.416966,30.0,c,18.81,1107.08,00.51
00251,TA126N32,127.41179,32.98071,57758.417466,30.0,c,18.81,1107.08,00.51
00252,TA132N42,132.87405,42.15148,57758.417965,30.0,c,18.87,1108.18,00.51
00253,TA129N37,129.86352,37.19080,57758.418964,30.0,c,18.86,1109.23,00.51
00254,TA126N27,127.10971,27.94062,57758.419454,30.0,c,18.86,1109.23,00.51
00255,TA122N17,122.81594,17.41045,57758.420313,30.0,c,18.91,1109.23,00.51
00256,TA122N17,122.81584,17.41061,57758.420805,30.0,c,18.90,1109.23,00.51
