INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,RINGS.V3.skycell.0842.005,196.92292,-23.80591,57983.231710,30.0,y,17.48,00.15,00.01
00001,RINGS.V3.skycell.0842.015,196.92355,-23.40477,57983.231710,30.0,y,17.77,00.31,00.02
00002,RINGS.V3.skycell.0842.025,196.92418,-23.00350,57983.231710,30.0,y,17.66,00.48,00.03
00003,RINGS.V3.skycell.0842.035,196.92480,-22.60212,57983.231710,30.0,y,17.70,00.64,00.05
00004,RINGS.V3.skycell.0842.045,196.92542,-22.20069,57983.231710,30.0,y,17.53,00.80,00.06
00005,RINGS.V3.skycell.0759.095,197.34133,-24.19263,57983.231710,30.0,y,17.69,00.97,00.07
00006,RINGS.V3.skycell.0842.054,197.35975,-21.79923,57983.231710,30.0,y,17.51,01.11,00.07
00007,RINGS.V3.skycell.0842.044,197.36036,-22.20069,57983.231710,30.0,y,17.77,01.26,00.08
00008,RINGS.V3.skycell.0842.034,197.36098,-22.60212,57983.231710,30.0,y,17.73,01.41,00.09
00009,RINGS.V3.skycell.0842.024,197.36160,-23.00350,57983.231710,30.0,y,17.73,01.57,00.10
00010,RINGS.V3.skycell.0842.014,197.36223,-23.40477,57983.231710,30.0,y,17.86,01.74,00.11
00011,RINGS.V3.skycell.0842.004,197.36286,-23.80591,57983.231710,30.0,y,17.77,01.89,00.12
00012,RINGS.V3.skycell.0759.094,197.78077,-24.19263,57983.231710,30.0,y,17.84,02.05,00.13
00013,RINGS.V3.skycell.0759.084,197.78151,-24.59405,57983.231710,30.0,y,17.51,02.21,00.14
00014,RINGS.V3.skycell.0842.053,197.79344,-21.79810,57983.231710,30.0,y,17.71,02.37,00.14
00015,RINGS.V3.skycell.0842.043,197.79529,-22.19953,57983.231710,30.0,y,17.77,02.52,00.15
00016,RINGS.V3.skycell.0842.033,197.79714,-22.60094,57983.231710,30.0,y,17.75,02.67,00.15
00017,RINGS.V3.skycell.0842.023,197.79901,-23.00230,57983.231710,30.0,y,17.74,02.82,00.15
00018,RINGS.V3.skycell.0842.013,197.80088,-23.40355,57983.231710,30.0,y,17.74,02.98,00.16
00019,RINGS.V3.skycell.0842.003,197.80277,-23.80466,57983.231710,30.0,y,17.91,03.13,00.17
00020,RINGS.V3.skycell.0759.093,198.22018,-24.19137,57983.231710,30.0,y,17.86,03.29,00.18
00021,RINGS.V3.skycell.0759.083,198.22240,-24.59276,57983.231710,30.0,y,17.53,03.46,00.19
00022,RINGS.V3.skycell.0842.052,198.22706,-21.79584,57983.231710,30.0,y,17.67,03.62,00.19
00023,RINGS.V3.skycell.0842.042,198.23014,-22.19722,57983.231710,30.0,y,17.78,03.78,00.19
00024,RINGS.V3.skycell.0842.032,198.23323,-22.59859,57983.231710,30.0,y,17.70,03.95,00.19
00025,RINGS.V3.skycell.0842.022,198.23634,-22.99989,57983.231710,30.0,y,17.69,04.09,00.19
00026,RINGS.V3.skycell.0842.012,198.23946,-23.40110,57983.231710,30.0,y,17.82,04.24,00.20
00027,RINGS.V3.skycell.0842.002,198.24260,-23.80217,57983.231710,30.0,y,17.91,04.41,00.20
00028,RINGS.V3.skycell.0759.092,198.65951,-24.18885,57983.231710,30.0,y,17.72,04.57,00.20
00029,RINGS.V3.skycell.0759.082,198.66322,-24.59019,57983.231710,30.0,y,17.69,04.73,00.21
00030,RINGS.V3.skycell.0842.041,198.66486,-22.19376,57983.231710,30.0,y,17.69,04.90,00.21
00031,RINGS.V3.skycell.0842.031,198.66919,-22.59506,57983.231710,30.0,y,17.85,05.06,00.21
00032,RINGS.V3.skycell.0842.021,198.67354,-22.99629,57983.231710,30.0,y,17.77,05.23,00.21
00033,RINGS.V3.skycell.0842.011,198.67791,-23.39743,57983.231710,30.0,y,17.80,05.36,00.21
00034,RINGS.V3.skycell.0842.001,198.68231,-23.79843,57983.231710,30.0,y,17.75,05.52,00.21
00035,RINGS.V3.skycell.0759.091,199.09871,-24.18507,57983.231710,30.0,y,17.70,05.69,00.21
00036,RINGS.V3.skycell.0842.020,199.11056,-22.99149,57983.231710,30.0,y,17.86,05.84,00.21
00037,RINGS.V3.skycell.0842.010,199.11618,-23.39254,57983.231710,30.0,y,17.74,05.98,00.21
00038,RINGS.V3.skycell.0842.000,199.12183,-23.79345,57983.231710,30.0,y,17.79,06.15,00.21
00039,RINGS.V3.skycell.0843.009,199.44965,-23.79345,57983.231710,30.0,y,17.68,06.26,00.21
00040,RINGS.V3.skycell.0843.019,199.45531,-23.39254,57983.231710,30.0,y,17.81,06.39,00.21
00041,RINGS.V3.skycell.0759.090,199.53773,-24.18004,57983.231710,30.0,y,17.57,06.56,00.21
00042,RINGS.V3.skycell.0842.005,196.92292,-23.80591,57983.232229,30.0,z,18.14,06.56,00.21
00043,RINGS.V3.skycell.0842.015,196.92355,-23.40477,57983.232229,30.0,z,18.11,06.56,00.21
00044,RINGS.V3.skycell.0842.025,196.92418,-23.00350,57983.232229,30.0,z,17.92,06.56,00.21
00045,RINGS.V3.skycell.0842.035,196.92480,-22.60212,57983.232229,30.0,z,18.07,06.56,00.21
00046,RINGS.V3.skycell.0842.045,196.92542,-22.20069,57983.232229,30.0,z,18.02,06.56,00.21
00047,RINGS.V3.skycell.0759.095,197.34133,-24.19263,57983.232229,30.0,z,18.19,06.56,00.21
00048,RINGS.V3.skycell.0842.054,197.35975,-21.79923,57983.232229,30.0,z,18.10,06.56,00.21
00049,RINGS.V3.skycell.0842.044,197.36036,-22.20069,57983.232229,30.0,z,18.10,06.56,00.21
00050,RINGS.V3.skycell.0842.034,197.36098,-22.60212,57983.232229,30.0,z,18.06,06.56,00.21
00051,RINGS.V3.skycell.0842.024,197.36160,-23.00350,57983.232229,30.0,z,18.13,06.56,00.21
00052,RINGS.V3.skycell.0842.014,197.36223,-23.40477,57983.232229,30.0,z,18.23,06.56,00.21
00053,RINGS.V3.skycell.0842.004,197.36286,-23.80591,57983.232229,30.0,z,18.25,06.56,00.21
00054,RINGS.V3.skycell.0759.094,197.78077,-24.19263,57983.232229,30.0,z,18.26,06.56,00.21
00055,RINGS.V3.skycell.0759.084,197.78151,-24.59405,57983.232229,30.0,z,17.99,06.56,00.21
00056,RINGS.V3.skycell.0842.053,197.79344,-21.79810,57983.232229,30.0,z,18.05,06.56,00.21
00057,RINGS.V3.skycell.0842.043,197.79529,-22.19953,57983.232229,30.0,z,18.22,06.56,00.21
00058,RINGS.V3.skycell.0842.033,197.79714,-22.60094,57983.232229,30.0,z,17.99,06.56,00.21
00059,RINGS.V3.skycell.0842.023,197.79901,-23.00230,57983.232229,30.0,z,18.24,06.56,00.21
