INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,TA018S12,18.20348,-12.33105,57382.278391,30.0,o,17.66,29.56,00.00
00001,TA021S02,21.55157,-2.36118,57382.283160,30.0,o,17.72,59.24,00.01
00002,TA022S07,23.08145,-7.33132,57382.285903,30.0,o,17.30,86.78,00.01
00003,TA023S12,23.35288,-12.33052,57382.288657,30.0,o,17.69,111.84,00.01
00004,TA023N02,23.84088,2.59794,57382.291412,30.0,o,17.69,140.10,00.01
00005,TA026S02,26.55135,-2.36127,57382.294190,30.0,o,17.70,165.58,00.02
00006,TA018S12,18.36384,-12.63207,57382.295567,30.0,o,17.66,167.28,00.02
00007,TA021S02,21.70104,-2.66192,57382.301065,30.0,o,17.65,167.70,00.02
00008,TA028N02,28.84035,2.59851,57382.302442,30.0,o,17.76,193.76,00.03
00009,TA022S07,23.23182,-7.63179,57382.303819,30.0,o,17.68,194.39,00.03
00010,TA023S12,23.50366,-12.63145,57382.306563,30.0,o,17.70,196.76,00.03
00011,TA026S02,26.70093,-2.66154,57382.312049,30.0,o,17.74,198.22,00.03
00012,TA033N02,33.83105,2.59913,57382.313403,30.0,o,17.75,225.44,00.03
00013,TA018S12,17.90538,-12.03162,57382.314097,30.0,o,17.64,228.59,00.04
00014,TA021S02,21.24198,-2.06266,57382.319641,30.0,o,17.69,231.19,00.04
00015,TA022S07,22.78304,-7.03312,57382.322373,30.0,o,17.65,232.55,00.04
00016,TA023S12,23.04544,-12.03137,57382.325093,30.0,o,17.64,232.55,00.04
00017,TA023N02,23.54080,2.89638,57382.327859,30.0,o,17.72,235.85,00.04
00018,TA026S02,26.25219,-2.06274,57382.330590,30.0,o,17.65,235.85,00.04
00019,TA018S12,17.74676,-12.93157,57382.331956,30.0,o,17.52,238.50,00.04
00020,TA021S02,21.09280,-2.96240,57382.337465,30.0,o,17.60,240.14,00.04
00021,TA028N02,28.54135,2.89642,57382.338889,30.0,o,17.69,241.61,00.04
00022,TA022S07,22.63446,-7.93319,57382.340255,30.0,o,17.58,241.93,00.04
00023,TA023S12,22.89680,-12.93186,57382.342998,30.0,o,17.59,243.45,00.04
00024,TA023N02,23.39206,1.99626,57382.345058,30.0,o,17.57,243.89,00.04
00025,TA026S02,26.10348,-2.96282,57382.347847,30.0,o,17.63,244.76,00.04
00026,TA033N02,33.53148,2.89635,57382.349282,30.0,o,17.75,246.25,00.04
00027,TA028N02,28.39232,1.99636,57382.355440,30.0,o,17.63,247.30,00.04
00028,TA026S02,26.10120,-2.96390,57383.337361,30.0,o,17.80,247.30,00.04
00029,TA018S12,17.90552,-12.03279,57383.337975,30.0,o,17.63,247.30,00.04
00030,TA023S12,23.04504,-12.03238,57383.340440,30.0,o,17.67,247.30,00.04
00031,TA033N02,33.52900,2.89593,57383.345428,30.0,o,17.89,247.30,00.04
00032,TA022S07,22.63271,-7.93420,57383.347315,30.0,o,17.60,247.30,00.04
00033,TA018S12,17.74596,-12.93317,57383.354120,30.0,o,17.41,247.32,00.04
00034,TA023S12,22.89536,-12.93390,57383.356597,30.0,o,17.53,247.32,00.04
00035,TA033N02,33.38016,1.99534,57383.361551,30.0,o,17.66,250.25,00.04
00036,TA042N27,42.39772,27.66074,57384.291250,30.0,o,18.16,279.96,00.05
00037,TA042N27,42.56449,27.35962,57384.307257,30.0,o,18.15,282.29,00.06
00038,TA044N32,44.54974,32.68005,57384.311863,30.0,o,18.14,310.75,00.06
00039,TA047N37,47.61577,37.67036,57384.314421,30.0,o,18.12,339.21,00.07
00040,TA047N27,48.01890,27.65815,57384.317164,30.0,o,18.12,364.75,00.08
00041,TA050N32,50.47062,32.66998,57384.319838,30.0,o,18.11,389.64,00.09
00042,TA042N27,42.05268,27.95942,57384.323623,30.0,o,18.11,391.94,00.09
00043,TA053N37,53.94682,37.65075,57384.327639,30.0,o,18.07,418.19,00.12
00044,TA044N32,44.72698,32.37915,57384.328275,30.0,o,18.14,418.19,00.12
00045,TA056N32,56.38186,32.65031,57384.330301,30.0,o,18.02,444.04,00.12
00046,TA047N37,47.80276,37.36883,57384.330926,30.0,o,18.04,444.04,00.12
00047,TA057N42,58.02571,42.61133,57384.332847,30.0,o,18.06,472.85,00.14
00048,TA047N27,48.18346,27.35910,57384.333461,30.0,o,18.13,475.01,00.14
00049,TA050N32,50.64859,32.36918,57384.336238,30.0,o,18.11,475.63,00.14
00050,TA060N37,60.28788,37.64183,57384.338252,30.0,o,18.04,500.46,00.15
00051,TA042N27,41.87932,27.05840,57384.340116,30.0,o,18.09,503.25,00.15
00052,TA064N42,64.84809,42.60241,57384.343495,30.0,o,18.05,529.97,00.17
00053,TA053N37,54.13419,37.35014,57384.344163,30.0,o,17.91,529.97,00.17
00054,TA044N32,44.18455,32.97820,57384.344757,30.0,o,18.10,532.19,00.17
00055,TA056N32,56.55989,32.34967,57384.347014,30.0,o,18.07,534.63,00.17
00056,TA047N37,47.23059,37.96820,57384.347650,30.0,o,18.10,537.69,00.17
00057,TA057N42,58.22262,42.30936,57384.349780,30.0,o,17.96,537.69,00.17
00058,TA047N27,47.67135,27.95859,57384.350359,30.0,o,18.15,537.69,00.17
00059,TA050N32,50.10598,32.96835,57384.353160,30.0,o,18.09,537.69,00.17
00060,TA047N27,47.49697,27.06003,57384.355752,30.0,o,18.12,539.36,00.17
00061,TA044N32,43.99930,32.07878,57384.356377,30.0,o,18.12,539.99,00.17
00062,TA047N37,47.03469,37.06918,57384.357002,30.0,o,18.07,540.64,00.17
00063,TA053N37,53.55957,37.94927,57384.358241,30.0,o,18.05,541.49,00.17
