INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,RINGS.V3.skycell.1939.057,39.84886,30.19580,57998.474203,45.0,i,21.00,00.20,00.00
00001,RINGS.V3.skycell.1939.047,39.85357,29.79387,57998.474203,45.0,i,20.97,00.35,00.00
00002,RINGS.V3.skycell.1939.037,39.85823,29.39196,57998.474203,45.0,i,21.09,00.55,00.00
00003,RINGS.V3.skycell.1939.066,40.31144,30.60105,57998.474203,45.0,i,20.98,00.71,00.00
00004,RINGS.V3.skycell.1939.056,40.31429,30.19909,57998.474203,45.0,i,20.86,00.88,00.00
00005,RINGS.V3.skycell.1939.046,40.31711,29.79710,57998.474203,45.0,i,20.88,01.01,00.00
00006,RINGS.V3.skycell.1939.036,40.31991,29.39514,57998.474203,45.0,i,21.03,01.17,00.00
00007,RINGS.V3.skycell.1939.026,40.32269,28.99324,57998.474203,45.0,i,21.08,01.34,00.00
00008,RINGS.V3.skycell.1939.075,40.77790,31.00465,57998.474203,45.0,i,20.64,01.47,00.00
00009,RINGS.V3.skycell.1939.065,40.77885,30.60272,57998.474203,45.0,i,20.88,01.64,00.00
00010,RINGS.V3.skycell.1939.055,40.77980,30.20073,57998.474203,45.0,i,20.87,01.77,00.00
00011,RINGS.V3.skycell.1939.045,40.78074,29.79872,57998.474203,45.0,i,20.83,01.90,00.00
00012,RINGS.V3.skycell.1939.035,40.78168,29.39673,57998.474203,45.0,i,20.92,02.07,00.00
00013,RINGS.V3.skycell.1939.025,40.78260,28.99480,57998.474203,45.0,i,20.95,02.23,00.00
00014,RINGS.V3.skycell.1939.034,41.24348,29.39673,57998.474203,45.0,i,20.71,02.39,00.00
00015,RINGS.V3.skycell.1939.044,41.24441,29.79872,57998.474203,45.0,i,20.72,02.52,00.00
00016,RINGS.V3.skycell.1939.054,41.24535,30.20073,57998.474203,45.0,i,20.72,02.65,00.00
00017,RINGS.V3.skycell.1857.057,38.39500,26.19655,57998.474848,45.0,i,21.10,02.81,00.00
00018,RINGS.V3.skycell.1857.066,38.83955,26.60100,57998.474848,45.0,i,21.12,02.96,00.00
00019,RINGS.V3.skycell.1857.056,38.84186,26.19931,57998.474848,45.0,i,21.15,03.13,00.00
00020,RINGS.V3.skycell.1857.046,38.84415,25.79761,57998.474848,45.0,i,20.80,03.29,00.00
00021,RINGS.V3.skycell.1857.075,39.28725,27.00406,57998.474848,45.0,i,21.02,03.45,00.00
00022,RINGS.V3.skycell.1857.065,39.28802,26.60241,57998.474848,45.0,i,21.05,03.62,00.00
00023,RINGS.V3.skycell.1857.055,39.28879,26.20069,57998.474848,45.0,i,20.92,03.78,00.00
00024,RINGS.V3.skycell.1857.064,39.73652,26.60241,57998.474848,45.0,i,20.67,03.93,00.00
00025,RINGS.V3.skycell.1857.074,39.73730,27.00406,57998.474848,45.0,i,20.91,04.10,00.00
00026,RINGS.V3.skycell.1857.084,39.73808,27.40561,57998.474848,45.0,i,20.82,04.24,00.00
00027,RINGS.V3.skycell.1857.094,39.73886,27.80703,57998.474848,45.0,i,20.75,04.39,00.00
00028,RINGS.V3.skycell.1857.083,40.18965,27.40416,57998.474848,45.0,i,20.49,04.52,00.00
00029,RINGS.V3.skycell.1857.046,38.84415,25.79761,57998.475495,45.0,i,21.07,04.52,00.00
00030,RINGS.V3.skycell.1857.036,38.84642,25.39592,57998.475495,45.0,i,21.08,04.69,00.00
00031,RINGS.V3.skycell.1857.026,38.84868,24.99429,57998.475495,45.0,i,21.11,04.83,00.00
00032,RINGS.V3.skycell.1857.016,38.85092,24.59276,57998.475495,45.0,i,21.01,04.98,00.00
00033,RINGS.V3.skycell.1857.006,38.85314,24.19137,57998.475495,45.0,i,20.76,05.15,00.00
00034,RINGS.V3.skycell.1857.055,39.28879,26.20069,57998.475495,45.0,i,20.90,05.15,00.00
00035,RINGS.V3.skycell.1857.045,39.28955,25.79896,57998.475495,45.0,i,21.12,05.32,00.00
00036,RINGS.V3.skycell.1857.035,39.29031,25.39725,57998.475495,45.0,i,21.15,05.48,00.00
00037,RINGS.V3.skycell.1857.025,39.29106,24.99560,57998.475495,45.0,i,21.11,05.61,00.00
00038,RINGS.V3.skycell.1857.015,39.29181,24.59405,57998.475495,45.0,i,20.91,05.78,00.00
00039,RINGS.V3.skycell.1857.005,39.29255,24.19263,57998.475495,45.0,i,20.91,05.94,00.00
00040,RINGS.V3.skycell.1773.092,39.67118,23.80196,57998.475495,45.0,i,20.97,06.11,00.00
00041,RINGS.V3.skycell.1857.004,39.73199,24.19263,57998.475495,45.0,i,21.07,06.28,00.00
00042,RINGS.V3.skycell.1857.014,39.73273,24.59405,57998.475495,45.0,i,20.98,06.44,00.00
00043,RINGS.V3.skycell.1857.024,39.73348,24.99560,57998.475495,45.0,i,21.09,06.57,00.00
00044,RINGS.V3.skycell.1857.034,39.73423,25.39725,57998.475495,45.0,i,21.14,06.74,00.00
00045,RINGS.V3.skycell.1857.044,39.73499,25.79896,57998.475495,45.0,i,21.13,06.90,00.00
00046,RINGS.V3.skycell.1857.054,39.73575,26.20069,57998.475495,45.0,i,21.06,07.07,00.00
00047,RINGS.V3.skycell.1857.064,39.73652,26.60241,57998.475495,45.0,i,20.62,07.07,00.00
00048,RINGS.V3.skycell.1773.091,40.11088,23.79822,57998.475495,45.0,i,21.09,07.23,00.00
00049,RINGS.V3.skycell.1857.003,40.17140,24.19137,57998.475495,45.0,i,21.09,07.38,00.00
00050,RINGS.V3.skycell.1857.013,40.17363,24.59276,57998.475495,45.0,i,21.06,07.55,00.00
