INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,TA047N37,48.49545,36.82304,57988.626663,30.0,c,19.43,30.06,00.01
00001,TA050N42,52.15004,41.79288,57988.632665,30.0,c,19.00,58.50,00.03
00002,TA047N37,48.48443,36.84323,57988.635769,30.0,c,18.68,58.57,00.03
00003,TA055N47,56.46529,46.76377,57988.636794,30.0,c,18.45,87.42,00.05
00004,TA050N42,52.12897,41.81386,57988.641907,30.0,c,17.76,87.64,00.05
00005,TA040N22,41.52154,22.50592,57989.599483,30.0,o,18.91,117.32,00.05
00006,TA042N27,43.44607,27.51185,57989.601643,30.0,o,18.92,145.60,00.06
00007,TA044N32,45.65091,32.51614,57989.603810,30.0,o,18.93,170.10,00.07
00008,TA040N22,41.51456,22.54204,57989.607506,30.0,o,18.96,170.23,00.07
00009,TA042N27,43.43971,27.54758,57989.609646,30.0,o,18.96,170.31,00.07
00010,TA045N22,46.91096,22.49815,57989.610164,30.0,o,18.99,196.72,00.08
00011,TA044N32,45.64521,32.55163,57989.611846,30.0,o,18.97,196.83,00.08
00012,TA047N27,49.06461,27.50286,57989.612363,30.0,o,19.00,221.76,00.10
00013,TA050N32,51.56833,32.49550,57989.614554,30.0,o,19.02,244.93,00.15
00014,TA040N22,41.54682,22.51798,57989.615592,30.0,o,18.82,244.93,00.15
00015,TA042N27,43.47266,27.52382,57989.617898,30.0,o,18.95,244.93,00.15
00016,TA045N22,46.90390,22.53436,57989.618418,30.0,o,19.06,244.93,00.15
00017,TA056N32,57.48122,32.45369,57989.619036,30.0,o,19.05,272.09,00.16
00018,TA044N32,45.68954,32.52806,57989.620352,30.0,o,19.10,272.09,00.16
00019,TA047N27,49.05862,27.53921,57989.620883,30.0,o,19.06,272.09,00.16
00020,TA050N32,51.56360,32.53177,57989.623100,30.0,o,19.07,272.10,00.16
00021,TA053N27,54.69328,27.48472,57989.623634,30.0,o,18.97,297.24,00.16
00022,TA040N22,41.55936,22.59525,57989.624192,30.0,o,19.00,297.28,00.16
00023,TA042N27,43.48657,27.60206,57989.626817,30.0,o,18.97,297.40,00.16
00024,TA045N22,46.93679,22.51183,57989.627330,30.0,o,18.80,297.57,00.16
00025,TA056N32,57.47747,32.48985,57989.627903,30.0,o,18.83,297.87,00.16
00026,TA051N22,52.30315,22.50507,57989.628469,30.0,o,18.86,322.49,00.17
00027,TA044N32,45.70355,32.60505,57989.628983,30.0,o,18.88,322.62,00.17
00028,TA047N27,49.10227,27.51606,57989.629512,30.0,o,18.74,322.62,00.17
00029,TA050N32,51.60844,32.50933,57989.632415,30.0,o,18.61,322.62,00.17
00030,TA053N27,54.68807,27.52213,57989.632923,30.0,o,18.55,322.62,00.17
00031,TA045N22,46.94997,22.59078,57989.636969,30.0,o,18.06,322.62,00.17
00032,TA056N32,57.51328,32.46753,57989.637513,30.0,o,17.89,322.80,00.17
00033,TA051N22,52.29646,22.54354,57989.638065,30.0,o,17.87,322.80,00.17
00034,TA047N27,49.11643,27.59570,57989.639600,30.0,o,17.62,322.80,00.17
00035,TA050N32,51.62348,32.58923,57989.642181,30.0,o,17.24,323.04,00.17
00036,TA053N27,54.72216,27.50162,57989.642714,30.0,o,17.10,323.19,00.17
00037,TA047N37,46.99588,37.80029,57990.640710,30.0,o,17.34,332.01,00.17
00038,TA040N25,40.91547,24.67270,57991.627746,30.0,c,19.50,338.59,00.17
00039,TA042N30,42.90699,29.66172,57991.630676,30.0,c,19.34,344.74,00.17
00040,TA040N25,40.90396,24.69246,57991.638020,30.0,c,18.57,344.82,00.17
00041,TA046N25,46.38717,24.67257,57991.639040,30.0,c,18.42,344.82,00.17
00042,TA042N30,42.89560,29.68200,57991.640512,30.0,c,18.22,344.95,00.17
00043,TA048N30,48.63911,29.65159,57991.641865,30.0,c,18.02,344.95,00.17
00044,TA048N40,47.79574,39.29206,58004.554720,30.0,o,18.68,349.79,00.17
00045,TA048N40,47.77525,39.31234,58004.562772,30.0,o,18.71,349.81,00.17
00046,TA052N45,52.33228,44.27281,58004.564227,30.0,o,18.71,357.22,00.17
00047,TA048N40,47.81472,39.27320,58004.570759,30.0,o,18.68,357.22,00.17
00048,TA052N45,52.32439,44.29336,58004.572270,30.0,o,18.69,357.30,00.17
00049,TA057N49,56.83107,49.22375,58004.575521,30.0,o,18.74,371.45,00.17
00050,TA048N40,47.82486,39.33394,58004.578764,30.0,o,18.70,371.62,00.17
00051,TA052N45,52.36286,44.25414,58004.580231,30.0,o,18.73,371.69,00.17
00052,TA065N59,64.34226,59.23469,58004.583001,30.0,o,18.68,401.63,00.18
00053,TA057N49,56.82101,49.24515,58004.583458,30.0,o,18.75,401.81,00.18
00054,TA060N44,59.46520,44.26323,58004.584827,30.0,o,18.73,420.83,00.22
00055,TA064N54,63.44658,54.22305,58004.586821,30.0,o,18.73,447.79,00.24
00056,TA052N45,52.37182,44.31488,58004.588226,30.0,o,18.72,447.83,00.24
00057,TA065N59,64.32618,59.25599,58004.591101,30.0,o,18.72,447.93,00.24
00058,TA057N49,56.86164,49.20545,58004.591561,30.0,o,18.75,448.03,00.24
00059,TA060N44,59.44655,44.28374,58004.593006,30.0,o,18.76,448.08,00.24
00060,TA075N65,74.44845,64.32248,58004.594512,30.0,o,18.67,477.78,00.25
00061,TA064N54,63.42936,54.24492,58004.594970,30.0,o,18.74,477.83,00.25
00062,TA065N49,64.46515,49.21444,58004.598270,30.0,o,18.75,502.30,00.33
00063,TA065N59,64.38377,59.21656,58004.599198,30.0,o,18.68,502.40,00.33
00064,TA057N49,56.88064,49.26626,58004.599659,30.0,o,18.72,502.45,00.33
00065,TA075N59,74.26569,59.26322,58004.600161,30.0,o,18.69,528.31,00.38
00066,TA060N44,59.49563,44.24443,58004.601119,30.0,o,18.71,528.52,00.38
00067,TA075N65,74.42752,64.34421,58004.602547,30.0,o,18.62,528.73,00.38
00068,TA064N54,63.48325,54.20582,58004.603005,30.0,o,18.70,528.82,00.38
00069,TA072N54,72.03608,54.27377,58004.605990,30.0,o,18.72,553.58,00.42
00070,TA065N49,64.44398,49.23534,58004.606455,30.0,o,18.73,553.58,00.42
00071,TA065N59,64.40148,59.27704,58004.607397,30.0,o,18.70,553.61,00.42
00072,TA087N65,86.15829,64.39032,58004.607892,30.0,o,18.67,581.26,00.44
00073,TA075N59,74.24814,59.28376,58004.608348,30.0,o,18.72,581.26,00.44
00074,TA060N44,59.50474,44.30505,58004.609319,30.0,o,18.72,581.26,00.44
00075,TA075N65,74.50361,64.30507,58004.610758,30.0,o,18.66,581.28,00.44
00076,TA064N54,63.50088,54.26637,58004.611220,30.0,o,18.75,581.29,00.44
00077,TA072N54,72.02553,54.29411,58004.614224,30.0,o,18.75,581.29,00.44
00078,TA065N49,64.49327,49.19564,58004.614685,30.0,o,18.74,581.43,00.44
00079,TA087N65,86.14028,64.41113,58004.616103,30.0,o,18.68,581.62,00.44
00080,TA075N59,74.29732,59.24483,58004.616565,30.0,o,18.73,581.74,00.44
00081,TA075N65,74.52161,64.36599,58004.619004,30.0,o,18.72,581.80,00.44
00082,TA065N49,64.50000,49.25636,58004.623125,30.0,o,18.78,581.81,00.44
00083,TA087N65,86.20595,64.37118,58004.624547,30.0,o,18.70,582.05,00.44
00084,TA075N59,74.31375,59.30496,58004.625007,30.0,o,18.76,582.09,00.44
00085,TA087N65,86.22544,64.43224,58004.633034,30.0,o,18.60,582.27,00.44
00086,TA040N25,40.89839,24.86967,58005.544909,30.0,o,18.31,582.64,00.44
00087,TA042N30,42.89108,29.85242,58005.545367,30.0,o,18.34,583.01,00.44
00088,TA040N25,40.88863,24.89184,58005.545825,30.0,o,18.26,583.10,00.44
00089,TA042N30,42.88225,29.87879,58005.548552,30.0,o,18.32,583.26,00.44
