INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,TA016N42,16.97114,42.62052,57990.551722,30.0,o,19.07,30.06,00.00
00001,TA018N47,18.36575,47.63690,57990.553722,30.0,o,19.04,57.54,00.00
00002,TA015N37,15.74172,37.65619,57990.556220,30.0,o,19.10,84.98,00.00
00003,TA020N52,20.44447,52.67758,57990.559710,30.0,o,19.02,113.15,00.00
00004,TA016N42,16.96229,42.65759,57990.560209,30.0,o,19.09,113.36,00.00
00005,TA022N37,22.07115,37.63183,57990.561701,30.0,o,19.10,140.37,00.01
00006,TA018N47,18.35929,47.67338,57990.562207,30.0,o,19.10,140.42,00.01
00007,TA015N37,15.78195,37.63313,57990.564700,30.0,o,19.11,141.05,00.01
00008,TA023N42,23.75238,42.63104,57990.565712,30.0,o,19.08,166.34,00.02
00009,TA020N52,20.43875,52.71505,57990.568230,30.0,o,19.04,166.76,00.02
00010,TA016N42,17.00302,42.63485,57990.568728,30.0,o,19.09,166.76,00.02
00011,TA025N47,25.73520,47.65861,57990.569742,30.0,o,19.04,191.36,00.03
00012,TA022N37,22.05262,37.66930,57990.570249,30.0,o,19.06,191.36,00.03
00013,TA018N47,18.40021,47.65055,57990.570741,30.0,o,19.04,191.36,00.03
00014,TA015N37,15.79257,37.71067,57990.573277,30.0,o,19.03,191.57,00.03
00015,TA028N37,28.38140,37.63155,57990.573783,30.0,o,19.04,218.37,00.07
00016,TA023N42,23.74532,42.66808,57990.574299,30.0,o,19.04,218.37,00.07
00017,TA016N42,17.01436,42.71244,57990.577279,30.0,o,19.07,218.37,00.07
00018,TA030N42,30.54092,42.62810,57990.577778,30.0,o,18.98,243.81,00.11
00019,TA025N47,25.71979,47.69562,57990.578289,30.0,o,19.05,244.23,00.11
00020,TA022N37,22.09377,37.64647,57990.578795,30.0,o,19.10,244.23,00.11
00021,TA018N47,18.42222,47.72791,57990.579291,30.0,o,19.00,244.39,00.11
00022,TA028N37,28.37331,37.66864,57990.582282,30.0,o,19.08,244.39,00.11
