INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,RINGS.V3.skycell.2181.096,126.21618,43.81008,57913.252994,240.0,z,18.37,00.16,00.00
00001,RINGS.V3.skycell.2181.086,126.22163,43.40739,57913.252994,240.0,z,18.20,00.42,00.00
00002,RINGS.V3.skycell.2181.076,126.22702,43.00456,57913.252994,240.0,z,18.44,00.58,00.00
00003,RINGS.V3.skycell.2247.000,126.28617,44.15713,57913.252994,240.0,z,17.98,00.68,00.00
00004,RINGS.V3.skycell.2181.095,126.77786,43.81284,57913.252994,240.0,z,18.16,00.79,00.00
00005,RINGS.V3.skycell.2181.085,126.77968,43.41010,57913.252994,240.0,z,18.05,00.94,00.00
00006,RINGS.V3.skycell.2181.075,126.78147,43.00723,57913.252994,240.0,z,18.18,01.10,00.00
00007,RINGS.V3.skycell.2181.065,126.78325,42.60427,57913.252994,240.0,z,18.25,01.26,00.00
00008,RINGS.V3.skycell.2248.019,126.82034,44.55979,57913.252994,240.0,z,18.21,01.42,00.00
00009,RINGS.V3.skycell.2248.009,126.83835,44.15712,57913.252994,240.0,z,18.40,01.52,00.00
00010,RINGS.V3.skycell.2181.054,127.33246,42.20124,57913.252994,240.0,z,18.61,01.68,00.00
00011,RINGS.V3.skycell.2181.064,127.33421,42.60427,57913.252994,240.0,z,18.58,01.84,00.00
00012,RINGS.V3.skycell.2181.074,127.33598,43.00724,57913.252994,240.0,z,18.49,01.99,00.00
00013,RINGS.V3.skycell.2181.084,127.33778,43.41011,57913.252994,240.0,z,18.23,02.15,00.00
00014,RINGS.V3.skycell.2181.094,127.33959,43.81284,57913.252994,240.0,z,18.36,02.31,00.00
00015,RINGS.V3.skycell.2248.028,127.37325,44.97401,57913.252994,240.0,z,18.47,02.47,00.00
00016,RINGS.V3.skycell.2248.018,127.38747,44.57103,57913.252994,240.0,z,18.51,02.62,00.00
00017,RINGS.V3.skycell.2248.008,127.40149,44.16820,57913.252994,240.0,z,18.47,02.73,00.00
00018,RINGS.V3.skycell.2181.043,127.87468,41.79562,57913.252994,240.0,z,18.46,02.89,00.01
00019,RINGS.V3.skycell.2181.053,127.87987,42.19863,57913.252994,240.0,z,18.62,03.04,00.01
00020,RINGS.V3.skycell.2181.063,127.88512,42.60163,57913.252994,240.0,z,18.61,03.20,00.01
00021,RINGS.V3.skycell.2181.073,127.89043,43.00456,57913.252994,240.0,z,18.48,03.36,00.01
00022,RINGS.V3.skycell.2181.083,127.89582,43.40739,57913.252994,240.0,z,18.32,03.62,00.01
00023,RINGS.V3.skycell.2181.093,127.90128,43.81009,57913.252994,240.0,z,18.51,03.72,00.01
00024,RINGS.V3.skycell.2248.027,127.94482,44.98257,57913.252994,240.0,z,18.23,03.88,00.01
00025,RINGS.V3.skycell.2248.017,127.95499,44.57947,57913.252994,240.0,z,18.48,04.04,00.01
00026,RINGS.V3.skycell.2248.007,127.96501,44.17652,57913.252994,240.0,z,18.55,04.14,00.01
00027,RINGS.V3.skycell.2181.042,128.41849,41.79049,57913.252994,240.0,z,18.51,04.30,00.01
00028,RINGS.V3.skycell.2181.052,128.42713,42.19343,57913.252994,240.0,z,18.56,04.46,00.01
00029,RINGS.V3.skycell.2181.062,128.43587,42.59635,57913.252994,240.0,z,18.45,04.62,00.01
00030,RINGS.V3.skycell.2181.072,128.44473,42.99921,57913.252994,240.0,z,18.48,04.83,00.01
00031,RINGS.V3.skycell.2181.082,128.45371,43.40197,57913.252994,240.0,z,18.29,04.98,00.01
00032,RINGS.V3.skycell.2181.092,128.46280,43.80459,57913.252994,240.0,z,18.40,05.19,00.01
00033,RINGS.V3.skycell.2248.016,128.52278,44.58510,57913.252994,240.0,z,18.54,05.35,00.01
00034,RINGS.V3.skycell.2248.006,128.52880,44.18207,57913.252994,240.0,z,18.55,05.46,00.01
00035,RINGS.V3.skycell.2181.051,128.97414,42.18563,57913.252994,240.0,z,18.56,05.61,00.01
00036,RINGS.V3.skycell.2181.061,128.98637,42.58844,57913.252994,240.0,z,18.44,05.77,00.01
00037,RINGS.V3.skycell.2181.071,128.99877,42.99119,57913.252994,240.0,z,18.12,05.93,00.01
00038,RINGS.V3.skycell.2181.081,129.01133,43.39383,57913.252994,240.0,z,18.08,06.08,00.01
00039,RINGS.V3.skycell.2181.091,129.02405,43.79634,57913.252994,240.0,z,18.06,06.24,00.01
00040,RINGS.V3.skycell.2248.015,129.09075,44.58792,57913.252994,240.0,z,18.66,06.40,00.01
00041,RINGS.V3.skycell.2248.005,129.09275,44.18484,57913.252994,240.0,z,18.44,06.56,00.01
00042,RINGS.V3.skycell.2181.060,129.53652,42.57790,57913.252994,240.0,z,18.06,06.71,00.01
00043,RINGS.V3.skycell.2181.070,129.55245,42.98050,57913.252994,240.0,z,18.23,06.87,00.01
00044,RINGS.V3.skycell.2181.080,129.56858,43.38299,57913.252994,240.0,z,18.10,07.03,00.01
00045,RINGS.V3.skycell.2181.090,129.58492,43.78535,57913.252994,240.0,z,18.09,07.19,00.01
00046,RINGS.V3.skycell.2248.004,129.65676,44.18484,57913.252994,240.0,z,18.23,07.34,00.01
00047,RINGS.V3.skycell.2182.099,129.82665,43.78535,57913.252994,240.0,z,18.26,07.45,00.01
00048,RINGS.V3.skycell.2182.089,129.84299,43.38299,57913.252994,240.0,z,18.26,07.55,00.01
00049,RINGS.V3.skycell.2182.079,129.85912,42.98049,57913.252994,240.0,z,18.17,07.61,00.01
00050,RINGS.V3.skycell.2182.069,129.87505,42.57789,57913.252994,240.0,z,17.91,07.71,00.01
00051,RINGS.V3.skycell.2182.088,130.40024,43.39383,57913.252994,240.0,z,18.12,07.87,00.01
00052,RINGS.V3.skycell.2181.096,126.21618,43.81008,57913.255970,240.0,z,18.43,07.87,00.01
00053,RINGS.V3.skycell.2181.086,126.22163,43.40739,57913.255970,240.0,z,18.31,07.87,00.01
00054,RINGS.V3.skycell.2181.076,126.22702,43.00456,57913.255970,240.0,z,17.96,07.87,00.01
00055,RINGS.V3.skycell.2247.000,126.28617,44.15713,57913.255970,240.0,z,18.29,07.87,00.01
00056,RINGS.V3.skycell.2181.095,126.77786,43.81284,57913.255970,240.0,z,18.29,07.87,00.01
00057,RINGS.V3.skycell.2181.085,126.77968,43.41010,57913.255970,240.0,z,18.31,07.87,00.01
