INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,TA041S37,41.27786,-38.14818,57979.631929,30.0,o,17.79,29.88,00.00
00001,TA047S37,47.61382,-38.15971,57979.637509,30.0,o,17.06,57.09,00.08
00002,TA041S37,40.40972,-37.08610,57981.598621,30.0,c,19.22,65.94,00.08
00003,TA041S37,40.40123,-37.06565,57981.606924,30.0,c,19.26,66.05,00.08
00004,TA047S37,46.74127,-37.07603,57981.614240,30.0,c,19.25,71.69,00.08
00005,TA041S37,40.44264,-37.10520,57981.615218,30.0,c,19.29,71.72,00.08
00006,TA050S32,49.65136,-32.07661,57981.616185,30.0,c,19.29,100.17,00.09
00007,TA047S37,46.73283,-37.05552,57981.622532,30.0,c,19.18,100.22,00.09
00008,TA041S37,40.45421,-37.04499,57981.623508,30.0,c,19.20,100.38,00.09
00009,TA050S32,49.63271,-32.05535,57981.624527,30.0,c,19.15,100.56,00.09
00010,TA053S37,53.07272,-37.06599,57981.627928,30.0,c,18.92,124.04,00.09
00011,TA047S37,46.76430,-37.09482,57981.630847,30.0,c,18.70,124.04,00.09
00012,TA050S32,49.67332,-32.09489,57981.632792,30.0,c,18.54,124.13,00.09
00013,TA053S37,53.06407,-37.04549,57981.636243,30.0,c,17.98,124.21,00.09
00014,TA047S37,46.78533,-37.03468,57981.637688,30.0,c,17.76,124.25,00.09
00015,TA050S32,49.68405,-32.03466,57981.638172,30.0,c,17.78,124.43,00.09
00016,TA050S32,49.90358,-33.40574,57985.613545,30.0,c,19.51,125.10,00.09
00017,TA050S32,49.89447,-33.38520,57985.623748,30.0,c,19.42,125.10,00.09
00018,TA050S32,49.92604,-33.42394,57985.636413,30.0,c,18.21,125.17,00.09
00019,TA050S32,49.94582,-33.36414,57985.638830,30.0,c,17.82,125.24,00.09
00020,TA041S40,41.18821,-39.08574,57993.571518,30.0,o,19.08,130.45,00.09
00021,TA041S40,41.17959,-39.06492,57993.583899,30.0,o,19.08,130.46,00.09
00022,TA048S40,47.61969,-39.04583,57993.591513,30.0,o,19.05,134.76,00.14
00023,TA041S40,41.22143,-39.10439,57993.592951,30.0,o,19.06,134.84,00.14
00024,TA048S40,47.64015,-39.06522,57993.595806,30.0,o,19.03,134.92,00.14
00025,TA051S35,51.10972,-34.05547,57993.596281,30.0,o,19.12,137.86,00.14
00026,TA054S39,54.04949,-39.03579,57993.597231,30.0,o,19.03,150.13,00.14
00027,TA041S40,41.23243,-39.04310,57993.598203,30.0,o,18.82,150.13,00.14
00028,TA048S40,47.66103,-39.08524,57993.600596,30.0,o,19.03,150.28,00.15
00029,TA051S35,51.10006,-34.03475,57993.601545,30.0,o,19.14,150.29,00.15
00030,TA048S40,47.68246,-39.02458,57993.609145,30.0,o,19.05,150.29,00.15
00031,TA054S39,54.08151,-39.05526,57993.611056,30.0,o,19.02,150.49,00.15
00032,TA054S39,54.04356,-39.01462,57993.612483,30.0,o,19.04,150.49,00.15
00033,TA051S35,51.13366,-34.07360,57993.612957,30.0,o,19.14,150.55,00.15
00034,TA051S35,51.15420,-34.01311,57993.621036,30.0,o,19.15,150.64,00.15
00035,TA054S39,54.09458,-38.99412,57993.622933,30.0,o,18.80,150.73,00.15
00036,TA051S35,51.84665,-35.28725,57997.562816,30.0,o,18.98,151.75,00.15
00037,TA051S35,51.82800,-35.26611,57997.571026,30.0,o,19.04,151.75,00.15
00038,TA051S35,51.86913,-35.30562,57997.578761,30.0,o,19.11,151.79,00.15
00039,TA051S35,51.88122,-35.24521,57997.586975,30.0,o,19.09,151.83,00.15
00040,TA051S35,51.39523,-35.49850,57999.579146,30.0,o,18.75,151.83,00.15
00041,TA051S35,51.37972,-35.46268,57999.587633,30.0,o,18.89,151.83,00.15
00042,TA051S35,51.40506,-35.48660,57999.596122,30.0,o,18.47,151.83,00.15
00043,TA051S35,51.42177,-35.41031,57999.604645,30.0,o,18.56,151.83,00.15
00044,TA051S35,51.79590,-35.58785,58001.535542,30.0,o,18.25,151.83,00.15
00045,TA051S35,51.78670,-35.56706,58001.543994,30.0,o,18.29,151.83,00.15
00046,TA051S35,51.81767,-35.60646,58001.552890,30.0,o,18.37,151.83,00.15
00047,TA051S35,51.82842,-35.54601,58001.561258,30.0,o,18.33,151.83,00.15
00048,TA051S35,50.73291,-35.10418,58007.563079,30.0,o,18.21,151.83,00.15
00049,TA051S35,50.71991,-35.07520,58007.567663,30.0,o,18.32,151.83,00.15
00050,TA051S35,50.75810,-35.10786,58007.571786,30.0,o,18.38,151.83,00.15
00051,TA051S35,50.76404,-35.03205,58007.580042,30.0,o,18.44,151.83,00.15
