INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,RINGS.V3.skycell.1883.087,152.52975,27.40125,57773.618731,90.0,i,20.49,00.16,00.00
00001,RINGS.V3.skycell.1883.096,152.97889,27.80555,57773.618731,90.0,i,20.60,00.35,00.00
00002,RINGS.V3.skycell.1883.086,152.98124,27.40416,57773.618731,90.0,i,20.61,00.49,00.00
00003,RINGS.V3.skycell.1883.076,152.98358,27.00263,57773.618731,90.0,i,20.62,00.64,00.00
00004,RINGS.V3.skycell.1883.066,152.98590,26.60100,57773.618731,90.0,i,20.71,00.81,00.00
00005,RINGS.V3.skycell.1883.056,152.98820,26.19931,57773.618731,90.0,i,20.72,00.97,00.00
00006,RINGS.V3.skycell.1964.008,153.34003,28.18221,57773.618731,90.0,i,20.68,01.13,00.00
00007,RINGS.V3.skycell.1883.095,153.43203,27.80703,57773.618731,90.0,i,20.72,01.29,00.00
00008,RINGS.V3.skycell.1883.085,153.43282,27.40561,57773.618731,90.0,i,20.72,01.42,00.00
00009,RINGS.V3.skycell.1883.075,153.43359,27.00406,57773.618731,90.0,i,20.64,01.59,00.00
00010,RINGS.V3.skycell.1883.065,153.43437,26.60241,57773.618731,90.0,i,20.81,01.74,00.00
00011,RINGS.V3.skycell.1883.055,153.43514,26.20069,57773.618731,90.0,i,20.69,01.91,00.00
00012,RINGS.V3.skycell.1883.064,153.88287,26.60241,57773.618731,90.0,i,20.90,02.09,00.00
00013,RINGS.V3.skycell.1883.074,153.88364,27.00406,57773.618731,90.0,i,20.74,02.24,00.00
00014,RINGS.V3.skycell.1883.084,153.88442,27.40561,57773.618731,90.0,i,20.66,02.37,00.00
00015,RINGS.V3.skycell.1883.094,153.88520,27.80703,57773.618731,90.0,i,20.84,02.54,00.00
00016,RINGS.V3.skycell.1883.073,154.33366,27.00263,57773.618731,90.0,i,20.59,02.71,00.00
00017,RINGS.V3.skycell.1883.083,154.33599,27.40416,57773.618731,90.0,i,20.62,02.85,00.00
00018,RINGS.V3.skycell.1883.077,152.53364,26.99977,57773.620261,225.0,i,20.70,03.04,00.00
00019,RINGS.V3.skycell.1883.067,152.53751,26.59819,57773.620261,225.0,i,20.74,03.24,00.00
00020,RINGS.V3.skycell.1883.097,152.52583,27.80259,57773.620668,225.0,i,20.61,03.41,00.00
00021,RINGS.V3.skycell.1964.009,152.88421,28.17616,57773.620668,225.0,i,20.79,03.58,00.00
00022,RINGS.V3.skycell.1964.018,153.33366,28.58374,57773.620668,225.0,i,20.51,03.71,00.00
00023,RINGS.V3.skycell.1882.065,149.04412,26.60241,57773.621281,135.0,i,19.98,03.87,00.00
00024,RINGS.V3.skycell.1882.055,149.04489,26.20069,57773.621281,135.0,i,20.31,04.04,00.00
00025,RINGS.V3.skycell.1882.034,149.49033,25.39725,57773.621281,135.0,i,20.71,04.20,00.00
