Distance	efficiency
0.1	0.474
0.100926219099	0.474
0.101861017016	0.474
0.102804473209	0.474
0.103756667875	0.474
0.104717681949	0.474
0.105687597118	0.474
0.106666495828	0.474
0.107654461284	0.474
0.108651577465	0.474
0.109657929127	0.474
0.11067360181	0.474
0.111698681847	0.474
0.112733256371	0.474
0.113777413322	0.474
0.114831241454	0.474
0.115894830344	0.474
0.116968270397	0.474
0.118051652857	0.474
0.119145069812	0.474
0.120248614204	0.474
0.121362379834	0.474
0.122486461375	0.474
0.123620954374	0.474
0.124765955263	0.474
0.125921561369	0.474
0.12708787092	0.474
0.128264983053	0.474
0.129452997823	0.474
0.130652016212	0.474
0.131862140139	0.474
0.133083472465	0.474
0.134316117005	0.474
0.135560178533	0.474
0.136815762797	0.474
0.138082976522	0.474
0.139361927422	0.474
0.140652724211	0.474
0.141955476605	0.474
0.143270295341	0.474
0.144597292179	0.474
0.145936579916	0.474
0.147288272391	0.474
0.1486524845	0.474
0.150029332202	0.474
0.15141893253	0.474
0.152821403603	0.474
0.15423686463	0.474
0.155665435927	0.474
0.157107238925	0.474
0.158562396177	0.474
0.160031031374	0.474
0.16151326935	0.474
0.163009236098	0.474
0.164519058775	0.474
0.166042865719	0.474
0.167580786453	0.474
0.169132951703	0.474
0.170699493404	0.474
0.172280544713	0.474
0.173876240022	0.474
0.175486714965	0.474
0.177112106435	0.474
0.17875255259	0.474
0.180408192872	0.474
0.18207916801	0.474
0.183765620039	0.474
0.185467692308	0.474
0.187185529497	0.474
0.188919277621	0.474
0.190669084051	0.474
0.192435097523	0.474
0.194217468149	0.474
0.196016347432	0.474
0.197831888278	0.474
0.199664245011	0.474
0.201513573382	0.474
0.203380030585	0.474
0.205263775271	0.474
0.20716496756	0.474
0.209083769056	0.474
0.211020342857	0.474
0.212974853575	0.474
0.214947467344	0.474
0.216938351839	0.474
0.218947676286	0.474
0.22097561148	0.474
0.223022329797	0.474
0.22508800521	0.474
0.227172813303	0.474
0.229276931287	0.474
0.231400538013	0.474
0.233543813991	0.474
0.2357069414	0.474
0.237890104108	0.474
0.240093487686	0.474
0.242317279424	0.474
0.244561668345	0.474
0.246826845226	0.474
0.249113002607	0.474
0.251420334814	0.474
0.253749037973	0.474
0.256099310026	0.474
0.258471350747	0.474
0.260865361762	0.474
0.263281546565	0.474
0.265720110532	0.474
0.268181260945	0.474
0.270665207003	0.474
0.273172159844	0.474
0.275702332561	0.474
0.278255940221	0.474
0.280833199882	0.474
0.283434330615	0.474
0.286059553518	0.474
0.288709091736	0.474
0.291383170483	0.474
0.294082017059	0.474
0.296805860867	0.474
0.299554933436	0.474
0.302329468441	0.474
0.305129701718	0.474
0.307955871291	0.474
0.310808217387	0.474
0.313686982457	0.474
0.316592411198	0.474
0.319524750576	0.474
0.322484249841	0.474
0.325471160553	0.474
0.328485736603	0.474
0.331528234232	0.474
0.334598912055	0.474
0.337698031083	0.474
0.340825854742	0.474
0.343982648902	0.474
0.347168681893	0.474
0.350384224529	0.474
0.353629550136	0.474
0.356904934568	0.474
0.360210656236	0.474
0.363546996129	0.474
0.36691423784	0.474
0.370312667587	0.474
0.373742574239	0.474
0.377204249342	0.474
0.38069798714	0.474
0.384224084606	0.474
0.387782841459	0.474
0.391374560198	0.474
0.394999546122	0.474
0.398658107358	0.474
0.402350554887	0.474
0.40607720257	0.474
0.409838367176	0.474
0.413634368406	0.474
0.417465528925	0.474
0.421332174385	0.474
0.425234633453	0.474
0.429173237842	0.474
0.433148322338	0.474
0.437160224825	0.474
0.441209286319	0.474
0.445295850994	0.474
0.449420266212	0.474
0.453582882551	0.474
0.457784053838	0.474
0.462024137175	0.474
0.466303492974	0.474
0.470622484984	0.474
0.474981480323	0.474
0.479380849509	0.474
0.483820966493	0.474
0.488302208688	0.474
0.492824957004	0.474
0.497389595879	0.474
0.501996513311	0.474
0.506646100892	0.474
0.511338753841	0.474
0.516074871039	0.474
0.520854855058	0.474
0.525679112202	0.474
0.530548052537	0.474
0.535462089927	0.474
0.540421642071	0.474
0.545427130533	0.474
0.550478980785	0.474
0.55557762224	0.474
0.560723488285	0.474
0.565917016325	0.474
0.571158647813	0.474
0.576448828293	0.474
0.581788007434	0.474
0.587176639073	0.474
0.592615181248	0.474
0.598104096238	0.474
0.603643850608	0.474
0.60923491524	0.474
0.614877765381	0.474
0.620572880678	0.474
0.62632074522	0.474
0.632121847581	0.474
0.637976680861	0.474
0.643885742724	0.474
0.649849535447	0.474
0.655868565957	0.474
0.661943345877	0.474
0.66807439157	0.474
0.674262224178	0.474
0.680507369674	0.474
