# t[days] u g r i z y J H K
0.20202 101.692 102.499 4.849 4.337 nan nan nan nan nan 
0.40404 -10.562 -12.632 -12.826 -11.493 -12.493 -9.329 -12.834 -13.852 -6.985 
0.60606 -14.680 -14.018 -14.050 -13.336 -14.294 -15.139 -14.565 -14.173 -13.409 
0.80808 -14.567 -14.370 -14.719 -14.556 -15.114 -15.380 -14.364 -14.399 -13.088 
1.01010 -14.509 -14.718 -14.764 -15.308 -15.520 -15.733 -15.500 -15.253 -14.581 
1.21212 -15.083 -15.159 -15.350 -15.558 -15.954 -16.005 -16.041 -15.028 -14.844 
1.41414 -14.786 -15.086 -15.234 -15.687 -15.991 -15.924 -15.887 -15.550 -14.863 
1.61616 -14.738 -15.060 -15.226 -15.716 -16.050 -16.044 -16.017 -15.435 -15.449 
1.81818 -14.830 -15.039 -14.989 -15.699 -15.880 -15.997 -15.938 -15.419 -15.291 
2.02020 -14.409 -14.792 -15.264 -15.495 -15.889 -15.999 -15.915 -15.500 -15.018 
2.22222 -14.550 -14.990 -15.221 -15.638 -16.018 -16.193 -16.031 -15.638 -15.126 
2.42424 -14.470 -14.870 -15.365 -15.751 -15.833 -16.095 -15.928 -15.528 -15.337 
2.62626 -14.340 -14.931 -15.265 -15.573 -15.979 -16.178 -15.999 -15.613 -15.457 
2.82828 -14.236 -14.665 -15.138 -15.546 -15.935 -16.027 -15.915 -15.595 -15.250 
3.03030 -14.112 -14.701 -15.139 -15.562 -15.967 -16.101 -15.932 -15.768 -15.458 
3.23232 -13.453 -14.538 -15.025 -15.558 -15.847 -16.028 -15.952 -15.747 -15.681 
3.43434 -13.876 -14.527 -15.009 -15.468 -15.810 -16.110 -16.041 -15.788 -15.431 
3.63636 -13.695 -14.441 -15.091 -15.414 -15.823 -16.044 -15.910 -15.927 -15.457 
3.83838 -13.428 -14.213 -14.954 -15.470 -15.857 -15.979 -15.961 -15.881 -15.715 
4.04040 -13.049 -14.102 -14.913 -15.442 -15.741 -15.934 -16.018 -15.818 -15.577 
4.24242 -13.068 -14.054 -14.777 -15.354 -15.806 -15.946 -15.989 -15.828 -15.575 
4.44444 -12.554 -13.858 -14.700 -15.180 -15.606 -15.949 -15.962 -15.885 -15.750 
4.64646 -12.586 -13.833 -14.677 -15.268 -15.579 -15.895 -15.996 -15.882 -15.580 
4.84848 -12.465 -13.628 -14.593 -15.125 -15.563 -15.913 -15.960 -15.870 -15.614 
5.05051 -12.197 -13.642 -14.408 -15.094 -15.613 -15.706 -15.906 -15.835 -15.652 
5.25253 -12.223 -13.456 -14.449 -15.024 -15.408 -15.739 -15.829 -15.826 -15.688 
5.45455 -11.367 -13.301 -14.279 -14.975 -15.429 -15.692 -15.884 -15.763 -15.572 
