# t[days] u g r i z y J H K
0.20202 9.158 11.538 nan nan nan nan nan nan nan 
0.40404 -12.935 -12.734 -12.763 -12.785 -13.349 -13.429 -13.518 -12.913 -12.352 
0.60606 -14.076 -13.963 -14.445 -14.881 -15.186 -15.176 -15.126 -13.916 -13.345 
0.80808 -14.352 -14.704 -15.142 -15.419 -15.509 -15.606 -15.567 -15.064 -14.290 
1.01010 -14.747 -15.033 -15.401 -15.698 -16.080 -16.243 -15.825 -15.323 -15.060 
1.21212 -14.433 -15.003 -15.301 -15.847 -16.078 -16.228 -15.894 -15.540 -15.359 
1.41414 -14.343 -14.819 -15.452 -15.998 -16.282 -16.337 -16.091 -15.724 -15.393 
1.61616 -14.177 -14.864 -15.464 -15.917 -16.246 -16.319 -16.159 -15.757 -15.614 
1.81818 -14.224 -14.674 -15.407 -15.731 -16.129 -16.276 -16.180 -15.652 -15.509 
2.02020 -13.782 -14.582 -15.170 -15.716 -16.061 -16.253 -16.123 -15.868 -15.587 
2.22222 -13.563 -14.442 -15.047 -15.584 -16.000 -16.190 -16.115 -15.760 -15.470 
2.42424 -13.376 -14.317 -14.967 -15.554 -15.938 -16.115 -16.090 -15.764 -15.587 
2.62626 -13.477 -14.239 -14.894 -15.394 -15.796 -16.037 -15.918 -15.748 -15.436 
2.82828 -13.168 -14.141 -14.736 -15.386 -15.727 -16.000 -15.886 -15.774 -15.437 
3.03030 -12.922 -13.818 -14.611 -15.295 -15.648 -15.904 -15.889 -15.778 -15.461 
3.23232 -12.702 -13.748 -14.583 -15.184 -15.628 -15.887 -15.846 -15.718 -15.323 
3.43434 -12.286 -13.622 -14.463 -15.007 -15.558 -15.705 -15.785 -15.660 -15.564 
3.63636 -11.969 -13.596 -14.394 -15.024 -15.488 -15.752 -15.773 -15.671 -15.497 
3.83838 -11.821 -13.108 -14.188 -14.884 -15.289 -15.642 -15.734 -15.581 -15.369 
4.04040 -11.811 -13.149 -14.078 -14.869 -15.291 -15.552 -15.689 -15.639 -15.427 
