# t[days] u g r i z y J H K
0.20202 83.978 72.443 16.927 32.703 nan nan nan nan nan 
0.40404 -12.607 -12.821 -12.581 -12.997 -13.255 -13.118 -12.995 -9.679 -13.954 
0.60606 -13.730 -13.328 -13.784 -14.583 -14.681 -14.128 -14.441 -13.736 -13.909 
0.80808 -14.287 -14.608 -14.668 -14.760 -15.370 -15.402 -15.061 -14.566 -13.615 
1.01010 -14.712 -14.887 -15.121 -15.414 -15.616 -15.818 -15.383 -15.306 -14.990 
1.21212 -14.724 -14.887 -15.037 -15.457 -15.836 -15.987 -15.610 -15.197 -14.850 
1.41414 -14.617 -14.795 -15.078 -15.627 -15.978 -16.094 -15.788 -15.413 -15.407 
1.61616 -14.369 -14.894 -15.096 -15.311 -15.835 -15.927 -15.732 -15.308 -14.720 
1.81818 -14.422 -14.730 -15.184 -15.497 -15.914 -16.045 -15.692 -15.500 -15.110 
2.02020 -14.277 -14.903 -15.230 -15.608 -15.872 -16.006 -15.807 -15.513 -15.343 
2.22222 -13.912 -14.594 -15.153 -15.490 -15.844 -15.846 -15.839 -15.443 -15.012 
2.42424 -14.069 -14.642 -14.984 -15.393 -15.758 -15.908 -15.821 -15.509 -15.020 
2.62626 -13.798 -14.305 -15.001 -15.455 -15.835 -15.825 -15.878 -15.497 -15.365 
2.82828 -13.630 -14.397 -14.883 -15.484 -15.804 -15.908 -15.814 -15.701 -15.356 
3.03030 -13.401 -14.338 -14.955 -15.423 -15.743 -15.899 -15.818 -15.663 -15.299 
3.23232 -13.359 -14.230 -14.875 -15.348 -15.756 -15.879 -15.900 -15.619 -15.304 
3.43434 -12.773 -13.942 -14.732 -15.246 -15.670 -15.842 -15.784 -15.698 -15.448 
3.63636 -12.762 -13.920 -14.769 -15.264 -15.607 -15.832 -15.805 -15.613 -15.372 
3.83838 -12.456 -13.738 -14.483 -15.166 -15.542 -15.783 -15.804 -15.595 -15.443 
4.04040 -12.168 -13.634 -14.453 -15.125 -15.648 -15.738 -15.822 -15.659 -15.378 
4.24242 -11.956 -13.534 -14.399 -14.963 -15.493 -15.756 -15.842 -15.675 -15.461 
4.44444 -11.697 -13.261 -14.238 -14.942 -15.416 -15.686 -15.752 -15.636 -15.309 
4.64646 -11.699 -13.020 -14.158 -14.790 -15.344 -15.531 -15.736 -15.636 -15.447 
4.84848 -11.090 -12.892 -13.923 -14.770 -15.261 -15.525 -15.697 -15.685 -15.502 
5.05051 -10.875 -12.734 -13.770 -14.665 -15.177 -15.405 -15.635 -15.551 -15.431 
5.25253 -10.608 -12.505 -13.859 -14.559 -15.101 -15.435 -15.546 -15.592 -15.434 
5.45455 -10.179 -12.378 -13.684 -14.477 -15.069 -15.302 -15.496 -15.504 -15.421 
5.65657 -10.321 -12.030 -13.501 -14.315 -14.855 -15.213 -15.397 -15.454 -15.336 
5.85859 -9.885 -12.014 -13.260 -14.181 -14.819 -15.087 -15.324 -15.385 -15.333 
6.06061 -9.523 -11.723 -13.110 -14.113 -14.710 -15.023 -15.295 -15.385 -15.350 
6.26263 -8.910 -11.627 -12.978 -14.024 -14.681 -14.937 -15.172 -15.367 -15.255 
6.46465 -8.803 -11.218 -12.864 -13.887 -14.532 -14.821 -15.143 -15.259 -15.274 
